Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
12500;+0.0000000000000000e+00;+3.4343717126887910e-08;+0.0000000000000000e+00;+1.9522878445810635e-08;+3.4343717126887910e-08;+7.3655400051586055e-17;+5.7379843671586187e-08
12600;+0.0000000000000000e+00;+3.3843614135334343e-08;+0.0000000000000000e+00;+1.9310626338891079e-08;+3.3843614135334343e-08;+7.3217233762302239e-17;+5.6931328538699284e-08
12700;+0.0000000000000000e+00;+3.3190039323786190e-08;+0.0000000000000000e+00;+1.9110581673864076e-08;+3.3190039323786190e-08;+7.2708801244134865e-17;+5.6560508046851491e-08
12800;+0.0000000000000000e+00;+3.3531257746465589e-08;+0.0000000000000000e+00;+1.9051637995859115e-08;+3.3531257746465589e-08;+7.3164214872211258e-17;+5.5768615734840079e-08
12900;+0.0000000000000000e+00;+3.3150872002171676e-08;+0.0000000000000000e+00;+1.8935773627869759e-08;+3.3150872002171676e-08;+7.2756380797236904e-17;+5.5244628361396788e-08
13000;+0.0000000000000000e+00;+3.2563520104622537e-08;+0.0000000000000000e+00;+1.8860193870603164e-08;+3.2563520104622537e-08;+7.1743349189830060e-17;+5.6373326231019835e-08
13100;+0.0000000000000000e+00;+3.2502520521664652e-08;+0.0000000000000000e+00;+1.8456808243800917e-08;+3.2502520521664652e-08;+7.3119008810230712e-17;+5.5855232004715804e-08
13200;+0.0000000000000000e+00;+3.2251421626533695e-08;+0.0000000000000000e+00;+1.8497024779064136e-08;+3.2251421626533695e-08;+7.2041748177250413e-17;+5.6228643817834930e-08
13300;+0.0000000000000000e+00;+3.1614770058188968e-08;+0.0000000000000000e+00;+1.8403618052019752e-08;+3.1614770058188968e-08;+7.1622505465615275e-17;+5.5894778298396394e-08
13400;+0.0000000000000000e+00;+3.1571480273828672e-08;+0.0000000000000000e+00;+1.8078146941627703e-08;+3.1571480273828672e-08;+7.1803084846110262e-17;+5.6047290832384292e-08
13500;+0.0000000000000000e+00;+3.1757384692899839e-08;+0.0000000000000000e+00;+1.8201314141464891e-08;+3.1757384692899839e-08;+7.1177867831142602e-17;+5.5768779983215742e-08
13600;+0.0000000000000000e+00;+3.1244218322194553e-08;+0.0000000000000000e+00;+1.7934420719364097e-08;+3.1244218322194553e-08;+1.0011427386084560e-16;+5.5393671877732231e-08
13700;+0.0000000000000000e+00;+3.1106824469866387e-08;+0.0000000000000000e+00;+1.7809678115898025e-08;+3.1106824469866387e-08;+9.6524519697418793e-17;+5.5552201931552093e-08
13800;+0.0000000000000000e+00;+3.0924110286031996e-08;+0.0000000000000000e+00;+1.7598211653317847e-08;+3.0924110286031996e-08;+9.5225413742542204e-17;+5.5097745678960583e-08
13900;+0.0000000000000000e+00;+3.0568003856711626e-08;+0.0000000000000000e+00;+1.7592334251288160e-08;+3.0568003856711626e-08;+9.5125321694029388e-17;+5.4349102114315214e-08
14000;+0.0000000000000000e+00;+3.0426123800408575e-08;+0.0000000000000000e+00;+1.7515753238343041e-08;+3.0426123800408575e-08;+9.3206777341956775e-17;+5.4512429198010290e-08
14100;+0.0000000000000000e+00;+3.0106176990258061e-08;+0.0000000000000000e+00;+1.7283333329490331e-08;+3.0106176990258061e-08;+9.4653159199263699e-17;+5.3688176641148176e-08
14200;+0.0000000000000000e+00;+3.0147219370715701e-08;+0.0000000000000000e+00;+1.7130212656888477e-08;+3.0147219370715701e-08;+9.2711812741155914e-17;+5.3675751108812996e-08
14300;+0.0000000000000000e+00;+2.9554772443841078e-08;+0.0000000000000000e+00;+1.7119589170024634e-08;+2.9554772443841078e-08;+9.2608461774820208e-17;+5.3055186496588445e-08
14400;+0.0000000000000000e+00;+2.9859138497531305e-08;+0.0000000000000000e+00;+1.7159310410750610e-08;+2.9859138497531305e-08;+9.3342911410254440e-17;+5.3421746097423869e-08
14500;+0.0000000000000000e+00;+2.9210058177045076e-08;+0.0000000000000000e+00;+1.6941599450412180e-08;+2.9210058177045076e-08;+9.1750090429021814e-17;+5.3075903079790104e-08
14600;+0.0000000000000000e+00;+2.9107217297579169e-08;+0.0000000000000000e+00;+1.6710364027513972e-08;+2.9107217297579169e-08;+9.3882500622725026e-17;+5.3277216938289568e-08
14700;+0.0000000000000000e+00;+2.8809156759428856e-08;+0.0000000000000000e+00;+1.6580537688191399e-08;+2.8809156759428856e-08;+9.2956199674247943e-17;+5.3435843677586662e-08
14800;+0.0000000000000000e+00;+2.8851791037298734e-08;+0.0000000000000000e+00;+1.6445868281362324e-08;+2.8851791037298734e-08;+9.3165461616550441e-17;+5.3312628163617764e-08
14900;+0.0000000000000000e+00;+2.8844359069769692e-08;+0.0000000000000000e+00;+1.6358526387654970e-08;+2.8844359069769692e-08;+9.2775917794702641e-17;+5.3163357410181352e-08
15000;+0.0000000000000000e+00;+2.8292848652712503e-08;+0.0000000000000000e+00;+1.6186301599910810e-08;+2.8292848652712503e-08;+9.2713885622576382e-17;+5.3015395500650522e-08
15100;+0.0000000000000000e+00;+2.8447811217875479e-08;+0.0000000000000000e+00;+1.6246771529981067e-08;+2.8447811217875479e-08;+9.1521497465173265e-17;+5.2566887297365478e-08
15200;+0.0000000000000000e+00;+2.8310673170573880e-08;+0.0000000000000000e+00;+1.5946809081545191e-08;+2.8310673170573880e-08;+9.0287596632624136e-17;+5.2089477837761874e-08
15300;+0.0000000000000000e+00;+2.7864772959767545e-08;+0.0000000000000000e+00;+1.5927562565034584e-08;+2.7864772959767545e-08;+8.9674695015639553e-17;+5.1839277383483689e-08
15400;+0.0000000000000000e+00;+2.7779922897274339e-08;+0.0000000000000000e+00;+1.5905850287024065e-08;+2.7779922897274339e-08;+8.8796465682659129e-17;+5.1994951548932802e-08
15500;+0.0000000000000000e+00;+2.7906722458853540e-08;+0.0000000000000000e+00;+1.5733594797823245e-08;+2.7906722458853540e-08;+8.9570346285410431e-17;+5.1301114673223388e-08
15600;+0.0000000000000000e+00;+2.7458026396407553e-08;+0.0000000000000000e+00;+1.5441856294507427e-08;+2.7458026396407553e-08;+8.9197568921431449e-17;+5.1774440585747012e-08
15700;+0.0000000000000000e+00;+2.7163406785030635e-08;+0.0000000000000000e+00;+1.5525217598178954e-08;+2.7163406785030635e-08;+8.9056365323727315e-17;+5.1067681572944479e-08
15800;+0.0000000000000000e+00;+2.7165838055435790e-08;+0.0000000000000000e+00;+1.5451860298132910e-08;+2.7165838055435790e-08;+8.7457082600545687e-17;+5.0613623984308925e-08
15900;+0.0000000000000000e+00;+2.7185196477871737e-08;+0.0000000000000000e+00;+1.5289104532701981e-08;+2.7185196477871737e-08;+8.7700537820342216e-17;+5.0042966213071981e-08
16000;+0.0000000000000000e+00;+2.7311238184794950e-08;+0.0000000000000000e+00;+1.5390342472198763e-08;+2.7311238184794950e-08;+8.6924234700553594e-17;+5.0828111053920982e-08
16100;+0.0000000000000000e+00;+2.7731267428848296e-08;+0.0000000000000000e+00;+1.4943938957987935e-08;+2.7731267428848296e-08;+8.7389514706255244e-17;+5.0382560690165113e-08
16200;+0.0000000000000000e+00;+2.8950379362884925e-08;+0.0000000000000000e+00;+1.5456140589693126e-08;+2.8950379362884925e-08;+8.9871030212703197e-17;+5.0660746030713677e-08
16300;+0.0000000000000000e+00;+3.3337580059574271e-08;+0.0000000000000000e+00;+1.8149745196538426e-08;+3.3337580059574271e-08;+9.0467689839599880e-17;+5.2354860653437793e-08
16400;+0.0000000000000000e+00;+4.3259399743259859e-08;+0.0000000000000000e+00;+2.4725049273815709e-08;+4.3259399743259859e-08;+9.6406837291844432e-17;+5.6829575456056965e-08
16500;+0.0000000000000000e+00;+5.0039700875000295e-08;+0.0000000000000000e+00;+2.8945885630989130e-08;+5.0039700875000295e-08;+9.8381941168710365e-17;+6.0469342992406492e-08
16600;+0.0000000000000000e+00;+5.0726032790494442e-08;+0.0000000000000000e+00;+2.9174106263656784e-08;+5.0726032790494442e-08;+1.0105636765665319e-16;+6.0720580025814457e-08
16700;+0.0000000000000000e+00;+5.0887214405866007e-08;+0.0000000000000000e+00;+2.9229932206514331e-08;+5.0887214405866007e-08;+1.0209975185372429e-16;+6.1440952051976428e-08
16800;+0.0000000000000000e+00;+5.0616117670823064e-08;+0.0000000000000000e+00;+2.9031541137923765e-08;+5.0616117670823064e-08;+1.0166096285762788e-16;+6.0396462488988986e-08
