Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
12400;+1.3901120424270630e+00;+7.0204800367355347e-01;+1.3901439905166626e+00;+7.0307201147079468e-01;+7.0156800746917725e-01;+1.4298880100250244e+00;+7.4207997322082520e-01
12500;+1.4121600389480591e+00;+7.1347200870513916e-01;+1.4126399755477905e+00;+7.1439999341964722e-01;+7.1302402019500732e-01;+1.4609919786453247e+00;+7.5267201662063599e-01
12600;+1.4334720373153687e+00;+7.2441601753234863e-01;+1.4340800046920776e+00;+7.2652798891067505e-01;+7.2406399250030518e-01;+1.4763840436935425e+00;+7.6444798707962036e-01
12700;+1.4572160243988037e+00;+7.3632001876831055e-01;+1.4567359685897827e+00;+7.3711997270584106e-01;+7.3628801107406616e-01;+1.5023360252380371e+00;+7.7430397272109985e-01
12800;+1.4779520034790039e+00;+7.4752002954483032e-01;+1.4778239727020264e+00;+7.4892801046371460e-01;+7.4796801805496216e-01;+1.5220479965209961e+00;+7.8623998165130615e-01
12900;+1.5037759542465210e+00;+7.5871998071670532e-01;+1.5032639503479004e+00;+7.6044797897338867e-01;+7.5916802883148193e-01;+1.5519679784774780e+00;+7.9795199632644653e-01
13000;+1.5252480506896973e+00;+7.7007997035980225e-01;+1.5263680219650269e+00;+7.7196800708770752e-01;+7.7052801847457886e-01;+1.5687999725341797e+00;+8.0982398986816406e-01
13100;+1.5490560531616211e+00;+7.8185600042343140e-01;+1.5497280359268188e+00;+7.8374397754669189e-01;+7.8192001581192017e-01;+1.5975359678268433e+00;+8.2208001613616943e-01
13200;+1.5729600191116333e+00;+7.9427200555801392e-01;+1.5741120576858521e+00;+7.9567998647689819e-01;+7.9417598247528076e-01;+1.6155519485473633e+00;+8.3311998844146729e-01
13300;+1.5955200195312500e+00;+8.0563199520111084e-01;+1.5955200195312500e+00;+8.0703997611999512e-01;+8.0598402023315430e-01;+1.6696640253067017e+00;+8.4630399942398071e-01
13400;+1.6189759969711304e+00;+8.1667202711105347e-01;+1.6183359622955322e+00;+8.1977599859237671e-01;+8.1731200218200684e-01;+1.6649279594421387e+00;+8.5721600055694580e-01
13500;+1.6418240070343018e+00;+8.3004802465438843e-01;+1.6424959897994995e+00;+8.3148801326751709e-01;+8.3011198043823242e-01;+1.7006720304489136e+00;+8.6953598260879517e-01
13600;+1.6673280000686646e+00;+8.4326398372650146e-01;+1.6657279729843140e+00;+8.4435200691223145e-01;+8.4246402978897095e-01;+1.7192000150680542e+00;+8.8316798210144043e-01
13700;+1.6912000179290771e+00;+8.5513597726821899e-01;+1.6904959678649902e+00;+8.5673600435256958e-01;+8.5545599460601807e-01;+1.7725119590759277e+00;+8.9440000057220459e-01
13800;+1.7165759801864624e+00;+8.6780798435211182e-01;+1.7168639898300171e+00;+8.6972802877426147e-01;+8.6790400743484497e-01;+1.7869119644165039e+00;+9.0726399421691895e-01
13900;+1.7513920068740845e+00;+8.8502401113510132e-01;+1.7510080337524414e+00;+8.8563197851181030e-01;+8.8384002447128296e-01;+1.8115199804306030e+00;+9.2022401094436646e-01
14000;+1.7755520343780518e+00;+8.9558398723602295e-01;+1.7748479843139648e+00;+8.9747202396392822e-01;+8.9641600847244263e-01;+1.8378880023956299e+00;+9.6409600973129272e-01
14100;+1.8002239465713501e+00;+9.0918397903442383e-01;+1.8001600503921509e+00;+9.1039997339248657e-01;+9.0931200981140137e-01;+1.8597439527511597e+00;+9.7177600860595703e-01
14200;+1.8261120319366455e+00;+9.2230397462844849e-01;+1.8262079954147339e+00;+9.2259198427200317e-01;+9.2147201299667358e-01;+1.8838720321655273e+00;+9.8198401927947998e-01
14300;+1.8504960536956787e+00;+9.3548798561096191e-01;+1.8508479595184326e+00;+9.3603199720382690e-01;+9.3564802408218384e-01;+1.9072959423065186e+00;+9.9187201261520386e-01
14400;+1.8687360286712646e+00;+9.4505602121353149e-01;+1.8687679767608643e+00;+9.4582402706146240e-01;+9.4489598274230957e-01;+1.9294719696044922e+00;+1.0038080215454102e+00
