Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
125000000;1.0140160322189331e+00;5.1561599969863892e-01;1.0143680572509766e+00;5.1846402883529663e-01;5.1635199785232544e-01;1.0384960174560547e+00;5.2595198154449463e-01;0.0000000000000000e+00;7.1853169140794796e-07;5.5736214691078651e-15;5.7253741512016280e-08;1.4979981169348070e-06;3.5093172212901371e-15;9.4386566484911828e-07
127000000;1.0288319587707520e+00;5.2377599477767944e-01;1.0297919511795044e+00;5.2671998739242554e-01;5.2358400821685791e-01;1.0561280250549316e+00;5.3577601909637451e-01;0.0000000000000000e+00;1.1023122088189246e-06;4.1363613698068632e-16;8.0338416659653246e-09;2.0806798025710934e-06;8.2727227396137263e-16;8.2228761202155128e-07
129000000;1.0465279817581177e+00;5.3235197067260742e-01;1.0459519624710083e+00;5.3504002094268799e-01;5.3200000524520874e-01;1.0764160156250000e+00;5.4460799694061279e-01;0.0000000000000000e+00;1.7712604548081793e-07;5.9045003174833305e-15;8.6555917756487495e-08;1.5356779613457745e-06;1.6870000907095231e-16;7.2054681182680051e-07
131000000;1.0632640123367310e+00;5.4016000032424927e-01;1.0630400180816650e+00;5.4300802946090698e-01;5.4063999652862549e-01;1.0884480476379395e+00;5.5193597078323364e-01;0.0000000000000000e+00;1.8438964164272171e-06;1.0387227333668581e-14;1.1710585584635800e-07;1.7826150954186680e-06;9.0174830698881089e-15;8.5248170794894871e-07
133000000;1.0793600082397461e+00;5.4889601469039917e-01;1.0794559717178345e+00;5.4982399940490723e-01;5.4681599140167236e-01;1.1040960550308228e+00;5.6243199110031128e-01;0.0000000000000000e+00;1.6222844612981227e-06;8.1177159608514413e-16;1.2098176720558495e-07;3.7287311540734366e-06;5.1412201085392461e-15;7.0207051004015422e-07
135000000;1.0949759483337402e+00;5.5628800392150879e-01;1.0947200059890747e+00;5.5993598699569702e-01;5.5683201551437378e-01;1.1220480203628540e+00;5.6796801090240479e-01;0.0000000000000000e+00;1.6606229277110961e-06;1.0825542424799405e-14;4.1521174889036441e-07;8.4411949012906354e-06;3.8662651517140730e-15;8.1644368615526957e-06
137000000;1.1120959520339966e+00;5.6425601243972778e-01;1.1104639768600464e+00;5.6716799736022949e-01;5.6483197212219238e-01;1.1363840103149414e+00;5.7705599069595337e-01;0.0000000000000000e+00;6.2367721976157675e-06;2.5693128911538174e-14;2.0710615442063045e-07;3.7576057643926103e-06;1.1692681420819767e-14;3.2632382585058367e-06
139000000;1.1264959573745728e+00;5.7248002290725708e-01;1.1285439729690552e+00;5.7667201757431030e-01;5.7174402475357056e-01;1.1555520296096802e+00;5.8364802598953247e-01;0.0000000000000000e+00;1.9814123307431514e-06;5.2070092230332399e-15;8.0477913296810075e-08;1.6459533158996796e-06;9.7891773393024907e-15;1.9814123307431514e-06
141000000;1.1438720226287842e+00;5.8108800649642944e-01;1.1435199975967407e+00;5.8415997028350830e-01;5.8127999305725098e-01;1.1724799871444702e+00;5.9363198280334473e-01;0.0000000000000000e+00;4.4616038933952221e-05;1.9632427794348697e-15;6.1120737747061060e-07;5.3509230940127392e-05;9.3254032023156308e-15;1.8924595360557268e-05
143000000;1.1601279973983765e+00;5.8832001686096191e-01;1.1593600511550903e+00;5.9244799613952637e-01;5.8880001306533813e-01;1.1875519752502441e+00;6.0224002599716187e-01;0.0000000000000000e+00;1.8779942960512471e-06;9.1379076747080807e-16;8.4356434785683334e-08;2.8591696614697124e-06;5.7438276812450786e-15;2.0467071656226140e-06
145000000;1.1769280433654785e+00;5.9782397747039795e-01;1.1761280298233032e+00;5.9945601224899292e-01;5.9641599655151367e-01;1.2051199674606323e+00;6.1014401912689209e-01;0.0000000000000000e+00;1.3831581698446974e-05;7.6788082451888747e-15;1.3921029742679910e-07;5.2429800616393269e-06;7.8921084742218990e-15;3.0020775096960151e-06
147000000;1.1921600103378296e+00;6.0489600896835327e-01;1.1925760507583618e+00;6.0799998044967651e-01;6.0585600137710571e-01;1.2231359481811523e+00;6.1779201030731201e-01;0.0000000000000000e+00;2.6800915029707445e-06;2.7635546630547136e-15;9.3730272228802446e-08;2.2285391209615162e-06;6.1278820789474088e-15;1.5128949014006637e-06
149000000;1.2080960273742676e+00;6.1260801553726196e-01;1.2076159715652466e+00;6.1680001020431519e-01;6.1420798301696777e-01;1.2395520210266113e+00;6.2800002098083496e-01;0.0000000000000000e+00;2.1581511001886156e-06;2.0074300423284703e-16;1.0508357477366181e-07;1.8348318609082901e-06;8.0297201693138811e-16;2.2605451699758307e-06
151000000;1.2239999771118164e+00;6.2070399522781372e-01;1.2232320308685303e+00;6.2383997440338135e-01;6.2073600292205811e-01;1.2517119646072388e+00;6.3472002744674683e-01;0.0000000000000000e+00;3.8449437682840031e-06;2.7632779082277514e-14;2.5424987232298150e-07;5.2262829162491036e-06;9.1522580399900048e-15;6.1127504394172794e-06
