Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
6950;+1.0649600028991699e+00;+6.7071998119354248e-01;+8.2943999767303467e-01;+7.5673598051071167e-01;+6.6969597339630127e-01;+1.0444799661636353e+00;+7.7004802227020264e-01
7000;+1.0833920240402222e+00;+6.8198400735855103e-01;+8.4787201881408691e-01;+7.7004802227020264e-01;+6.8300801515579224e-01;+1.0618879795074463e+00;+7.7516800165176392e-01
7050;+1.0936319828033447e+00;+6.7686402797698975e-01;+8.5913598537445068e-01;+7.6800000667572021e-01;+6.7584002017974854e-01;+1.0741759538650513e+00;+7.8028798103332520e-01
7100;+1.0997760295867920e+00;+6.9427198171615601e-01;+8.6527997255325317e-01;+7.8745597600936890e-01;+6.9017601013183594e-01;+1.0833920240402222e+00;+7.9052799940109253e-01
7150;+1.1069439649581909e+00;+6.8812799453735352e-01;+8.6937600374221802e-01;+7.7926397323608398e-01;+6.8607997894287109e-01;+1.0967040061950684e+00;+8.0179202556610107e-01
7200;+1.1048959493637085e+00;+6.9120001792907715e-01;+8.6015999317169189e-01;+7.8131198883056641e-01;+6.8915200233459473e-01;+1.1089919805526733e+00;+8.0691200494766235e-01
7250;+1.1233279705047607e+00;+7.0963197946548462e-01;+8.8371199369430542e-01;+8.0383998155593872e-01;+7.0963197946548462e-01;+1.1212799549102783e+00;+8.1305599212646484e-01
7300;+1.1182080507278442e+00;+7.0656001567840576e-01;+8.7756800651550293e-01;+7.9872000217437744e-01;+7.0348799228668213e-01;+1.1171840429306030e+00;+8.2022398710250854e-01
7350;+1.1376639604568481e+00;+7.2089600563049316e-01;+9.0009599924087524e-01;+8.1203198432922363e-01;+7.2089600563049316e-01;+1.1335680484771729e+00;+8.2841598987579346e-01
7400;+1.1499520540237427e+00;+7.1577602624893188e-01;+9.0931200981140137e-01;+8.0793601274490356e-01;+7.1372801065444946e-01;+1.1427839994430542e+00;+8.3763200044631958e-01
7450;+1.1622400283813477e+00;+7.3318397998809814e-01;+9.1340798139572144e-01;+8.2739198207855225e-01;+7.3215997219085693e-01;+1.1591680049896240e+00;+8.4582400321960449e-01
7500;+1.1622400283813477e+00;+7.2294402122497559e-01;+9.2159998416900635e-01;+8.2124799489974976e-01;+7.2192001342773438e-01;+1.1724799871444702e+00;+8.5196799039840698e-01
