Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+8900;+1.2083519697189331e+00;+1.1008640527725220e+00;+1.2093440294265747e+00;+1.0837440490722656e+00;+1.0997760295867920e+00;+7.4889600276947021e-01;+6.9529598951339722e-01
+9000;+1.2431679964065552e+00;+1.1084799766540527e+00;+1.2420480251312256e+00;+1.0950399637222290e+00;+1.1070400476455688e+00;+7.5804799795150757e-01;+7.0076799392700195e-01
+9100;+1.2560960054397583e+00;+1.1240320205688477e+00;+1.2538239955902100e+00;+1.1067199707031250e+00;+1.1201920509338379e+00;+7.6435202360153198e-01;+7.0959997177124023e-01
+9200;+1.2663040161132812e+00;+1.1485439538955688e+00;+1.2658239603042603e+00;+1.1310080289840698e+00;+1.1416319608688354e+00;+7.7526402473449707e-01;+7.1644800901412964e-01
+9300;+1.2824959754943848e+00;+1.1559679508209229e+00;+1.2855360507965088e+00;+1.1433919668197632e+00;+1.1535359621047974e+00;+7.8537601232528687e-01;+7.2563201189041138e-01
+9400;+1.2952320575714111e+00;+1.1644480228424072e+00;+1.2958719730377197e+00;+1.1539839506149292e+00;+1.1650559902191162e+00;+7.9478400945663452e-01;+7.3139202594757080e-01
+9500;+1.3104959726333618e+00;+1.1792000532150269e+00;+1.3091200590133667e+00;+1.1669119596481323e+00;+1.1785919666290283e+00;+8.0425602197647095e-01;+7.4371200799942017e-01
+9600;+1.2991679906845093e+00;+1.1899839639663696e+00;+1.2962559461593628e+00;+1.1736960411071777e+00;+1.1889599561691284e+00;+8.1036800146102905e-01;+7.4783998727798462e-01
+9700;+1.3191679716110229e+00;+1.1991360187530518e+00;+1.3173760175704956e+00;+1.1829760074615479e+00;+1.1974400281906128e+00;+8.2105600833892822e-01;+7.5590401887893677e-01
+9800;+1.3624320030212402e+00;+1.2020800113677979e+00;+1.3593920469284058e+00;+1.1914240121841431e+00;+1.2043199539184570e+00;+8.3084797859191895e-01;+7.6329600811004639e-01
+9900;+1.3737920522689819e+00;+1.2168320417404175e+00;+1.3712960481643677e+00;+1.2026239633560181e+00;+1.2182719707489014e+00;+8.3804798126220703e-01;+7.7376002073287964e-01
+10000;+1.3815679550170898e+00;+1.2443840503692627e+00;+1.3811839818954468e+00;+1.2270720005035400e+00;+1.2439999580383301e+00;+8.4633600711822510e-01;+7.7593600749969482e-01
+10100;+1.3964799642562866e+00;+1.2523839473724365e+00;+1.3957120180130005e+00;+1.2395199537277222e+00;+1.2521280050277710e+00;+8.5743999481201172e-01;+7.8598397970199585e-01
+10200;+1.4119679927825928e+00;+1.2652159929275513e+00;+1.4099520444869995e+00;+1.2506879568099976e+00;+1.2639039754867554e+00;+8.6624002456665039e-01;+7.9593598842620850e-01
+10300;+1.4239039421081543e+00;+1.2754559516906738e+00;+1.4238079786300659e+00;+1.2656639814376831e+00;+1.2758079767227173e+00;+8.7689602375030518e-01;+8.0796802043914795e-01
+10400;+1.4072959423065186e+00;+1.2855360507965088e+00;+1.4093439579010010e+00;+1.2675839662551880e+00;+1.2817280292510986e+00;+8.8287997245788574e-01;+8.1155198812484741e-01
+10500;+1.4252159595489502e+00;+1.2949119806289673e+00;+1.4292479753494263e+00;+1.2809920310974121e+00;+1.2902400493621826e+00;+8.9340800046920776e-01;+8.1932801008224487e-01
+10600;+1.4690560102462769e+00;+1.2977919578552246e+00;+1.4682879447937012e+00;+1.2850879430770874e+00;+1.2975039482116699e+00;+9.0284800529479980e-01;+8.2656002044677734e-01
+10700;+1.4848639965057373e+00;+1.3156479597091675e+00;+1.4848639965057373e+00;+1.2984639406204224e+00;+1.3118079900741577e+00;+9.0928000211715698e-01;+8.3840000629425049e-01
+10800;+1.4950079917907715e+00;+1.3434560298919678e+00;+1.4920959472656250e+00;+1.3284800052642822e+00;+1.3397760391235352e+00;+9.1964799165725708e-01;+8.4399998188018799e-01
+10900;+1.5136320590972900e+00;+1.3512639999389648e+00;+1.5122239589691162e+00;+1.3393919467926025e+00;+1.3486399650573730e+00;+9.3062400817871094e-01;+8.5222399234771729e-01
+11000;+1.5274239778518677e+00;+1.3650560379028320e+00;+1.5269759893417358e+00;+1.3481600284576416e+00;+1.3645440340042114e+00;+9.4294399023056030e-01;+8.5638397932052612e-01
+11100;+1.5406399965286255e+00;+1.3777279853820801e+00;+1.5370240211486816e+00;+1.3643200397491455e+00;+1.3777600526809692e+00;+9.5091199874877930e-01;+8.6975997686386108e-01
+11200;+1.5215359926223755e+00;+1.3793599605560303e+00;+1.5148160457611084e+00;+1.3661119937896729e+00;+1.3793599605560303e+00;+9.5900797843933105e-01;+8.7564802169799805e-01
+11300;+1.5397119522094727e+00;+1.3939520120620728e+00;+1.5372159481048584e+00;+1.3739199638366699e+00;+1.3910399675369263e+00;+9.7014397382736206e-01;+8.8419198989868164e-01
+11400;+1.5930559635162354e+00;+1.3990720510482788e+00;+1.5879360437393188e+00;+1.3850879669189453e+00;+1.3986239433288574e+00;+9.7878402471542358e-01;+8.9171200990676880e-01
+11500;+1.6015679836273193e+00;+1.4096000194549561e+00;+1.6025919914245605e+00;+1.3918080329895020e+00;+1.4127039909362793e+00;+9.8697602748870850e-01;+9.0220797061920166e-01
+11600;+1.6135360002517700e+00;+1.4434560537338257e+00;+1.6134079694747925e+00;+1.4284160137176514e+00;+1.4417920112609863e+00;+9.9772799015045166e-01;+9.0700799226760864e-01
