Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
41000000;7.4752002954483032e-01;3.8502401113510132e-01;7.4752002954483032e-01;3.8912001252174377e-01;3.8604798913002014e-01;7.5468802452087402e-01;3.9219200611114502e-01;0.0000000000000000e+00;2.6296194439304958e-07;1.3931297179731224e-16;3.6210384495963640e-08;4.1017579560723012e-07;1.2538167461758101e-15;4.1254810883755617e-07
43000000;7.8336000442504883e-01;4.0243199467658997e-01;7.8438401222229004e-01;4.0652799606323242e-01;4.0448001027107239e-01;7.8950399160385132e-01;4.0959998965263367e-01;0.0000000000000000e+00;1.0626099597863829e-06;1.5226375873322015e-15;2.7336480422308623e-08;2.5612863150733339e-06;1.3957511217211847e-15;2.4515012962986427e-07
45000000;8.2022398710250854e-01;4.2086398601531982e-01;8.2022398710250854e-01;4.2495998740196228e-01;4.2188799381256104e-01;8.2534402608871460e-01;4.2905598878860474e-01;0.0000000000000000e+00;1.6116967848100345e-06;9.0335939974670609e-16;2.5135638909495620e-08;1.3085796693064179e-06;2.0325586494300889e-15;2.6762933131238896e-07
47000000;8.5504001379013062e-01;4.3827199935913086e-01;8.5504001379013062e-01;4.4236800074577332e-01;4.3929600715637207e-01;8.6220800876617432e-01;4.4748800992965698e-01;0.0000000000000000e+00;1.0578844051596040e-06;9.2298845405416930e-16;3.9562800408216708e-09;1.9073569533199444e-06;1.8459769081083386e-15;2.8711379609426851e-07
49000000;8.8985598087310791e-01;4.5772799849510193e-01;8.9190399646759033e-01;4.6182399988174438e-01;4.5772799849510193e-01;8.9702397584915161e-01;4.6284800767898560e-01;0.0000000000000000e+00;1.9045084813709392e-07;3.0810193857959352e-15;3.2916592180718329e-08;5.0551936004984503e-07;2.9343041769485100e-16;1.1168372015890612e-07
51000000;9.2672002315521240e-01;4.7411200404167175e-01;9.2569601535797119e-01;4.7820800542831421e-01;4.7615998983383179e-01;9.3388801813125610e-01;4.8230400681495667e-01;0.0000000000000000e+00;4.7159724389192434e-07;1.4527101070785828e-16;3.6465638565865169e-09;1.1735232639449312e-06;1.8885231392021575e-15;3.8631233617286166e-07
53000000;9.6255999803543091e-01;4.9254399538040161e-01;9.6358400583267212e-01;4.9663999676704407e-01;4.9356800317764282e-01;9.6767997741699219e-01;5.0073599815368652e-01;0.0000000000000000e+00;1.2825216267984430e-06;1.4200283522262111e-15;2.4401658673916862e-08;1.0647010792197163e-06;4.0572238635034604e-16;1.9341888890480976e-07
55000000;9.9942398071289062e-01;5.1097601652145386e-01;9.9942398071289062e-01;5.1609599590301514e-01;5.1302397251129150e-01;1.0055680274963379e+00;5.1814401149749756e-01;0.0000000000000000e+00;1.4518217500887743e-06;5.7821355051418628e-16;2.3861983590351646e-08;1.5139069573278362e-06;3.4692813030851176e-16;1.6239363812683392e-07
57000000;1.0342400074005127e+00;5.2838397026062012e-01;1.0332159996032715e+00;5.3248000144958496e-01;5.3145599365234375e-01;1.0403840541839600e+00;5.3657597303390503e-01;0.0000000000000000e+00;6.3457321815672870e-07;2.9028544713740464e-15;4.7252212602586002e-08;4.3686674446505154e-07;9.0714202230438953e-16;3.3946311149943514e-07
59000000;1.0711040496826172e+00;5.4681599140167236e-01;1.0711040496826172e+00;5.5193597078323364e-01;5.4886400699615479e-01;1.0762239694595337e+00;5.5603200197219849e-01;0.0000000000000000e+00;6.8563297915439985e-07;3.0818544709089423e-15;2.3463315323383604e-08;4.4926754766180537e-07;2.2013246220778158e-15;2.1290211616921088e-07
61000000;1.1059199571609497e+00;5.6627202033996582e-01;1.1079679727554321e+00;5.7036799192428589e-01;5.6729602813720703e-01;1.1110399961471558e+00;5.7241600751876831e-01;0.0000000000000000e+00;1.1621996970377211e-07;7.7367748212763600e-16;1.2378735847840199e-08;1.2378735847840199e-08;3.8683874106381800e-16;1.1621996970377211e-07
63000000;1.1417599916458130e+00;5.8470398187637329e-01;1.1427839994430542e+00;5.8880001306533813e-01;5.8675199747085571e-01;1.1479040384292603e+00;5.9187197685241699e-01;0.0000000000000000e+00;9.7978346770933353e-07;5.1200798061566046e-16;2.8117901140162452e-08;8.8815607054119743e-07;3.4133865374377366e-16;1.5513689319610952e-07
65000000;1.1765760183334351e+00;6.0313600301742554e-01;1.1776000261306763e+00;6.0723197460174561e-01;6.0416001081466675e-01;1.1837439537048340e+00;6.0927999019622803e-01;0.0000000000000000e+00;1.9089479957824224e-07;1.1742604681005805e-15;1.0773002882612062e-08;5.5113839296950262e-07;3.3550299088588018e-16;7.9287895465203019e-08
67000000;1.2134399414062500e+00;6.2156802415847778e-01;1.2144639492034912e+00;6.2668800354003906e-01;6.2259197235107422e-01;1.2195839881896973e+00;6.2873601913452148e-01;0.0000000000000000e+00;1.1001997375417247e-06;1.5050681019562277e-15;2.2830024849259424e-08;1.1899805469327635e-06;3.6790553603374450e-15;1.1261083424029819e-07
69000000;1.2492799758911133e+00;6.3897597789764404e-01;1.2492799758911133e+00;6.4512002468109131e-01;6.4204800128936768e-01;1.2533760070800781e+00;6.4409601688385010e-01;0.0000000000000000e+00;9.0705539763296872e-07;1.8354464402322715e-16;2.0197373767780970e-08;8.0851561720350334e-07;5.5063393206968142e-16;2.0197373767780970e-08
71000000;1.2851200103759766e+00;6.5843200683593750e-01;1.2861440181732178e+00;6.6355198621749878e-01;6.6048002243041992e-01;1.2902400493621826e+00;6.6560000181198120e-01;0.0000000000000000e+00;8.3698023384941022e-07;1.5042750479087881e-15;3.2744476625581098e-08;1.2097193954815492e-06;2.1985558392513059e-15;1.5362510419048845e-07
73000000;1.3230079412460327e+00;6.7584002017974854e-01;1.3209600448608398e+00;6.8095999956130981e-01;6.7788797616958618e-01;1.3260799646377563e+00;6.8198400735855103e-01;0.0000000000000000e+00;1.2321083308474719e-06;1.4509197184928037e-15;8.0336854808771427e-09;1.4546673572777619e-06;2.2800167004886916e-15;2.1452534094941280e-07
75000000;1.3557759523391724e+00;6.9427198171615601e-01;1.3578239679336548e+00;6.9939202070236206e-01;6.9529598951339722e-01;1.3619199991226196e+00;7.0041602849960327e-01;0.0000000000000000e+00;4.8644446094126593e-07;8.7406828868549162e-16;1.7182621644406831e-08;8.6185393237875335e-07;2.0977638928451800e-15;1.7052211407433684e-07
77000000;1.3916159868240356e+00;7.1065598726272583e-01;1.3926399946212769e+00;7.1577602624893188e-01;7.1372801065444946e-01;1.3987840414047241e+00;7.1987199783325195e-01;0.0000000000000000e+00;1.6536198959910218e-06;1.4621883277133974e-15;3.6157972633876463e-09;1.1302823086475241e-06;3.2493073949186610e-16;9.0838728487303934e-08
79000000;1.4284800291061401e+00;7.2908800840377808e-01;1.4284800291061401e+00;7.3420798778533936e-01;7.3215997219085693e-01;1.4346239566802979e+00;7.3830401897430420e-01;0.0000000000000000e+00;3.5427967945548939e-07;1.6889643958865101e-16;8.4226627665585209e-09;1.0796843638995851e-06;3.5468252313616715e-15;8.4226627665585209e-09
81000000;1.4622720479965210e+00;7.4752002954483032e-01;1.4632960557937622e+00;7.5264000892639160e-01;7.4956798553466797e-01;1.4704639911651611e+00;7.5366401672363281e-01;0.0000000000000000e+00;6.4832655303673844e-07;9.8576805152296007e-16;5.7313704085387649e-08;1.1909636019514388e-07;0.0000000000000000e+00;1.4551873622565340e-07
