Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
2650;+0.0000000000000000e+00;+4.6417448332567868e-06;+0.0000000000000000e+00;+1.1367603923241595e-06;+4.6417448332567868e-06;+1.2367317418437084e-14;+4.7411237117273611e-06
2700;+0.0000000000000000e+00;+4.7520749525580164e-06;+0.0000000000000000e+00;+1.1520116946107667e-06;+4.7520749525580164e-06;+1.2720533307254083e-14;+4.9116119694961295e-06
2750;+0.0000000000000000e+00;+4.8358793044087468e-06;+0.0000000000000000e+00;+1.1779170832683458e-06;+4.8358793044087468e-06;+1.3012829661176406e-14;+5.0546555148001051e-06
2800;+0.0000000000000000e+00;+5.0004195318950007e-06;+0.0000000000000000e+00;+1.2045856449565394e-06;+5.0004195318950007e-06;+1.3470339059198668e-14;+5.1562466402427373e-06
2850;+0.0000000000000000e+00;+5.0788064326329445e-06;+0.0000000000000000e+00;+1.2280867517320760e-06;+5.0788064326329445e-06;+1.3667705853542701e-14;+5.2861642010236046e-06
2900;+0.0000000000000000e+00;+5.1436044845758612e-06;+0.0000000000000000e+00;+1.2394004250789050e-06;+5.1436044845758612e-06;+1.3933368726603068e-14;+5.3638210250519923e-06
2950;+0.0000000000000000e+00;+5.2882550409771188e-06;+0.0000000000000000e+00;+1.2626834703396269e-06;+5.2882550409771188e-06;+1.4214535483079149e-14;+5.5077084001020113e-06
3000;+0.0000000000000000e+00;+5.4396468587399120e-06;+0.0000000000000000e+00;+1.2877467664038276e-06;+5.4396468587399120e-06;+1.4574070043774927e-14;+5.6846912355892754e-06
3050;+0.0000000000000000e+00;+5.5824926437429563e-06;+0.0000000000000000e+00;+1.3189414812704576e-06;+5.5824926437429563e-06;+1.4933593786682481e-14;+5.8670196936006227e-06
3100;+0.0000000000000000e+00;+5.7430432932072378e-06;+0.0000000000000000e+00;+1.3316852712449089e-06;+5.7430432932072378e-06;+1.5374831155224870e-14;+6.0055818880790342e-06
