Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+6500;+1.7673599720001221e-01;+9.7695998847484589e-02;+1.7727999389171600e-01;+1.0534399747848511e-01;+9.7695998847484589e-02;+1.8118399381637573e-01;+9.8559997975826263e-02
+6600;+1.8281599879264832e-01;+9.9808000028133392e-02;+1.8303999304771423e-01;+1.0911999642848969e-01;+9.9775999784469604e-02;+1.8691200017929077e-01;+9.9872000515460968e-02
+6700;+1.8985599279403687e-01;+1.0351999849081039e-01;+1.8835200369358063e-01;+1.1404799669981003e-01;+1.0384000092744827e-01;+1.9004799425601959e-01;+1.0358399897813797e-01
+6800;+1.9340799748897552e-01;+1.0672000050544739e-01;+1.9276799261569977e-01;+1.1708799749612808e-01;+1.0668800026178360e-01;+1.9795200228691101e-01;+1.0620799660682678e-01
+6900;+1.9990399479866028e-01;+1.0950399935245514e-01;+1.9920000433921814e-01;+1.2054400146007538e-01;+1.0963200032711029e-01;+2.0630399882793427e-01;+1.0902400314807892e-01
+7000;+2.0441600680351257e-01;+1.1219199746847153e-01;+2.0419199764728546e-01;+1.2390399724245071e-01;+1.1206399649381638e-01;+2.0969599485397339e-01;+1.1084800213575363e-01
+7100;+2.1180799603462219e-01;+1.1510399729013443e-01;+2.1020799875259399e-01;+1.2662400305271149e-01;+1.1472000181674957e-01;+2.1536000072956085e-01;+1.1315199732780457e-01
+7200;+2.1817600727081299e-01;+1.1830399930477142e-01;+2.1609599888324738e-01;+1.3152000308036804e-01;+1.1897599697113037e-01;+2.2019200026988983e-01;+1.1676800251007080e-01
+7300;+2.2284799814224243e-01;+1.2297599762678146e-01;+2.2227199375629425e-01;+1.3654400408267975e-01;+1.2294399738311768e-01;+2.2732800245285034e-01;+1.3510400056838989e-01
+7400;+2.2790400683879852e-01;+1.2646399438381195e-01;+2.2870400547981262e-01;+1.4003199338912964e-01;+1.2627199292182922e-01;+2.3436799645423889e-01;+1.3984000682830811e-01
+7500;+2.3401600122451782e-01;+1.2924799323081970e-01;+2.3414400219917297e-01;+1.4380800724029541e-01;+1.2902399897575378e-01;+2.3727999627590179e-01;+1.4131200313568115e-01
+7600;+2.4182400107383728e-01;+1.3190400600433350e-01;+2.3971199989318848e-01;+1.4713600277900696e-01;+1.3187199831008911e-01;+2.4726399779319763e-01;+1.4502400159835815e-01
+7700;+2.7593600749969482e-01;+1.3846400380134583e-01;+2.7609598636627197e-01;+1.6495999693870544e-01;+1.3820800185203552e-01;+2.5193598866462708e-01;+1.4700800180435181e-01
+7800;+2.6633599400520325e-01;+1.4006400108337402e-01;+2.6633599400520325e-01;+1.6156800091266632e-01;+1.3990400731563568e-01;+2.5980800390243530e-01;+1.4947199821472168e-01
+7900;+2.6879999041557312e-01;+1.4179199934005737e-01;+2.6748800277709961e-01;+1.6265599429607391e-01;+1.4179199934005737e-01;+2.6662400364875793e-01;+1.5177600085735321e-01
+8000;+2.6704001426696777e-01;+1.4553600549697876e-01;+2.6691201329231262e-01;+1.5632000565528870e-01;+1.4483200013637543e-01;+2.7030399441719055e-01;+1.5302400290966034e-01
+8100;+2.8345599770545959e-01;+1.5612800419330597e-01;+2.8505599498748779e-01;+1.7721599340438843e-01;+1.5737600624561310e-01;+2.7919998764991760e-01;+1.5775999426841736e-01
+8200;+2.8147199749946594e-01;+1.4547200500965118e-01;+2.8188800811767578e-01;+1.5785600244998932e-01;+1.4560000598430634e-01;+2.8288000822067261e-01;+1.5964800119400024e-01
+8300;+2.8739199042320251e-01;+1.4937600493431091e-01;+2.8672000765800476e-01;+1.6156800091266632e-01;+1.4886400103569031e-01;+2.9232001304626465e-01;+1.6412800550460815e-01
+8400;+2.9372799396514893e-01;+1.5203200280666351e-01;+2.9379200935363770e-01;+1.6588799655437469e-01;+1.5257599949836731e-01;+3.0003198981285095e-01;+1.6543999314308167e-01
+8500;+3.0131199955940247e-01;+1.5574400126934052e-01;+3.0115199089050293e-01;+1.6905599832534790e-01;+1.5583999454975128e-01;+3.0556800961494446e-01;+1.6956800222396851e-01
+8600;+3.0684798955917358e-01;+1.5852800011634827e-01;+3.0704000592231750e-01;+1.7219200730323792e-01;+1.5852800011634827e-01;+3.1360000371932983e-01;+1.7155200242996216e-01
+8700;+3.1305599212646484e-01;+1.6156800091266632e-01;+3.1555199623107910e-01;+1.7632000148296356e-01;+1.6150400042533875e-01;+3.2156801223754883e-01;+1.7504000663757324e-01
+8800;+3.2265600562095642e-01;+1.6713599860668182e-01;+3.2259199023246765e-01;+1.8262399733066559e-01;+1.6681599617004395e-01;+3.2601600885391235e-01;+1.7708800733089447e-01
+8900;+3.2803198695182800e-01;+1.7132799327373505e-01;+3.2889598608016968e-01;+1.8863999843597412e-01;+1.7129600048065186e-01;+3.3526399731636047e-01;+1.8124799430370331e-01
