Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp64, posit32>;DOT Acc<fp64, posit16>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
397000000;4.2618880271911621e+00;2.2364161014556885e+00;4.2721281051635742e+00;2.2415359020233154e+00;3.8164479732513428e+00;4.5946879386901855e+00;2.2415359020233154e+00;4.4441599845886230e+00;2.4483840465545654e+00;0.0000000000000000e+00;2.9745600368530017e-06;9.0837309763577531e-15;3.9272954257308743e-07;1.6212595490599972e-08;1.2332167905612320e-03;1.3086729472782665e-05;5.5571060090659198e-14;1.6600887645552547e-05
399000000;4.2813439369201660e+00;2.2466559410095215e+00;4.2956800460815430e+00;2.2517759799957275e+00;3.8625280857086182e+00;4.6120958328247070e+00;2.2507519721984863e+00;4.4625921249389648e+00;2.4576001167297363e+00;0.0000000000000000e+00;2.3078245425045996e-06;3.3983519505005144e-16;2.4644229284246668e-07;1.8382753972192922e-08;1.5998560479289427e-03;4.8334823154240934e-07;1.6142171764877443e-14;9.4600476632015268e-06
401000000;4.3018240928649902e+00;2.2558720111846924e+00;4.3182082176208496e+00;2.2650880813598633e+00;3.8502399921417236e+00;4.5916161537170410e+00;2.2620160579681396e+00;4.4830718040466309e+00;2.4678399562835693e+00;0.0000000000000000e+00;7.8658570562385334e-06;1.6358601961669247e-15;2.9098741573555000e-07;1.6535617166601323e-08;1.7507445586884903e-03;1.2257085833341714e-05;1.5540671863585784e-14;1.3135331588762348e-05
403000000;4.3243517875671387e+00;2.2681601047515869e+00;4.3376641273498535e+00;2.2743039131164551e+00;3.9024639129638672e+00;4.6438398361206055e+00;2.2722558975219727e+00;4.5107197761535645e+00;2.4872961044311523e+00;0.0000000000000000e+00;7.0189191454661283e-06;2.2222335602343373e-14;4.0243141316704001e-07;3.1815413418379353e-09;4.3563176227579323e-04;4.5764493413590099e-06;3.2196139770324257e-14;2.3793776844808290e-05
405000000;4.3448319435119629e+00;2.2753279209136963e+00;4.3591680526733398e+00;2.2835199832916260e+00;3.9178240299224854e+00;4.6858239173889160e+00;2.2824959754943848e+00;4.5311999320983887e+00;2.4995839595794678e+00;0.0000000000000000e+00;6.7393859453863836e-07;1.2956417423281060e-15;2.7645724377923302e-07;2.1653769290320969e-08;3.5666179573816674e-04;4.7519791915893566e-07;9.0694921962967424e-15;1.1405935065042582e-05
407000000;4.3653120994567871e+00;2.2896640300750732e+00;4.3847680091857910e+00;2.2937600612640381e+00;3.9075839519500732e+00;4.7063040733337402e+00;2.2906880378723145e+00;4.5516800880432129e+00;2.5067520141601562e+00;0.0000000000000000e+00;2.3638073469930046e-06;3.2777148382119060e-15;4.8524654119127082e-07;1.7527674370660180e-08;8.5050885365122917e-04;9.1999996109314077e-06;1.7481145803796832e-14;1.7244387059922304e-05
409000000;4.3909120559692383e+00;2.3039999008178711e+00;4.3980798721313477e+00;2.3070719242095947e+00;3.9321599006652832e+00;4.7298560142517090e+00;2.3009281158447266e+00;4.5793280601501465e+00;2.5200641155242920e+00;0.0000000000000000e+00;4.3791055086898569e-06;9.9886853471099089e-15;1.4934149698546414e-07;2.9412990080666958e-08;3.3245317410406246e-04;7.4775166178361295e-06;2.0421312265202481e-14;7.6570299537629703e-06
411000000;4.4144639968872070e+00;2.3152639865875244e+00;4.4185600280761719e+00;2.3193600177764893e+00;3.9485440254211426e+00;4.6714878082275391e+00;2.3173120021820068e+00;4.5967359542846680e+00;2.5343999862670898e+00;0.0000000000000000e+00;3.2617672164596834e-06;2.1052521731377211e-15;6.2493531135699968e-08;3.9916838162076921e-09;1.1176204550253841e-03;3.9266193659787598e-06;1.6718179021976021e-14;4.3840325030096982e-06
413000000;4.4288001060485840e+00;2.3265280723571777e+00;4.4472317695617676e+00;2.3316481113433838e+00;3.9864320755004883e+00;4.7749118804931641e+00;2.3296000957489014e+00;4.6172161102294922e+00;2.5456640720367432e+00;0.0000000000000000e+00;4.9748065991317535e-07;1.1390595250623761e-15;8.9795375884825521e-08;1.2125945122261940e-08;2.9915120310092393e-04;1.0653129288621657e-06;1.0251535725561386e-14;3.4871727427877409e-06
415000000;4.4533758163452148e+00;2.3367679119110107e+00;4.4697599411010742e+00;2.3408639430999756e+00;3.9895040988922119e+00;4.7093758583068848e+00;2.3398399353027344e+00;4.6366720199584961e+00;2.5518081188201904e+00;0.0000000000000000e+00;2.0004498481308953e-06;8.9474473374227105e-15;1.5627938996115055e-07;1.5278617614353094e-08;9.5909806582506916e-04;1.5287434505651797e-06;1.3147269557029288e-14;6.1363013683072772e-06
417000000;4.4748802185058594e+00;2.3449599742889404e+00;4.4840960502624512e+00;2.3531520366668701e+00;4.0243201255798340e+00;4.8629760742187500e+00;2.3511040210723877e+00;4.6684160232543945e+00;2.5681920051574707e+00;0.0000000000000000e+00;1.5990021197546856e-06;2.2745619266836872e-15;9.0527481192208265e-08;1.7220707276540112e-08;8.1398295246302467e-04;3.3229731352546594e-06;7.4926745820168518e-15;4.9032798994629689e-06
419000000;4.4953598976135254e+00;2.3531520366668701e+00;4.5086722373962402e+00;2.3633921146392822e+00;4.0202240943908691e+00;4.7943677902221680e+00;2.3582720756530762e+00;4.6858239173889160e+00;2.5825281143188477e+00;0.0000000000000000e+00;8.4040591347955616e-07;1.5927408501436176e-15;9.2196709782829218e-08;1.4690319316703197e-08;1.7948616829586651e-03;1.0541799716786211e-06;6.5700560068424233e-15;3.7263556991669315e-06
421000000;4.5148158073425293e+00;2.3695359230041504e+00;4.5311999320983887e+00;2.3736319541931152e+00;4.0878081321716309e+00;4.8977918624877930e+00;2.3695359230041504e+00;4.6950402259826660e+00;2.5896959304809570e+00;0.0000000000000000e+00;2.3572481581069731e-06;9.8597718981202570e-16;2.8141276442423767e-08;2.4792970868134172e-08;8.9953645751917916e-04;9.8095772803246675e-07;4.5354950731353187e-15;2.3572481581069731e-06
