Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
127000000;0.0000000000000000e+00;9.1854752190395683e-07;2.2723911723605184e-15;2.6917908790007652e-08;1.3628629410292632e-15;3.6390281149652161e-07
129000000;0.0000000000000000e+00;1.5387655650685134e-06;3.1244767689018051e-15;3.2079770637186205e-08;3.3435735027664983e-15;5.5723832234209631e-07
131000000;0.0000000000000000e+00;1.9802012519448853e-06;3.9260132680790837e-15;3.8009479853638855e-08;5.5761061584742473e-15;5.5580055057002641e-07
133000000;0.0000000000000000e+00;7.3531672357252849e-07;2.3191840737566247e-15;6.4571464986612613e-08;8.9900187787230372e-15;7.7063260172197835e-07
135000000;0.0000000000000000e+00;1.7177875566977269e-06;3.2007941525950097e-15;1.0159239825147966e-07;7.5269782205993010e-15;8.3829047988452195e-07
137000000;0.0000000000000000e+00;4.6400218404623986e-05;2.1219333149847925e-14;6.7491929023289126e-07;4.7616806520560152e-14;5.8648822984468966e-06
139000000;0.0000000000000000e+00;3.7947963576979879e-05;4.2376772913215479e-14;6.5695511822992323e-07;2.8885871197992111e-14;4.1785505764066075e-06
141000000;0.0000000000000000e+00;5.0813487411107212e-06;9.5391838548353022e-15;1.2081880513139884e-07;1.2066423758363975e-14;1.4009679363341771e-06
143000000;0.0000000000000000e+00;4.6569822285905352e-06;8.2271869155693454e-15;8.9818104666445309e-08;7.3998670160422160e-15;1.3848008086337410e-06
145000000;0.0000000000000000e+00;4.8136268542913422e-06;5.6976369696106433e-15;5.8709850043297869e-08;9.4944401419615765e-15;7.7548460817134205e-07
147000000;0.0000000000000000e+00;1.7312356122480293e-06;4.9146559210526450e-15;5.1420052108991471e-08;9.7881808182543292e-15;1.0574468381044143e-06
149000000;0.0000000000000000e+00;3.0004101668382919e-06;8.3272914648484853e-15;7.6957004373250223e-08;1.1230507099285549e-14;1.6656793546656782e-06
151000000;0.0000000000000000e+00;7.3108377340629738e-06;1.6609931928784494e-14;8.5767973767209713e-08;1.4736159928134796e-14;2.0945287657991380e-06
153000000;0.0000000000000000e+00;5.7648500894211729e-06;9.4839284974608829e-15;1.3906080601915844e-07;1.1702936826944169e-14;1.0538701028525996e-06
155000000;0.0000000000000000e+00;2.5399285279749077e-06;5.5571203324705086e-15;1.1759015688513565e-07;1.3120046191277003e-14;2.5594952803052250e-06
157000000;0.0000000000000000e+00;6.6299856353519529e-06;2.4493892183999695e-15;6.4282872343611561e-08;8.6317248404205627e-15;5.7242546523126060e-07
159000000;0.0000000000000000e+00;1.9049827927067332e-06;3.2942600627232516e-15;2.6862995817357488e-08;4.3385133862491776e-15;4.8615831263829086e-07
