Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
+5500;+0.0000000000000000e+00;+1.6420037423942019e-05;+0.0000000000000000e+00;+2.9636773825009933e-06;+1.6420037423942019e-05;+4.1459474336786178e-14;+1.5891237076270088e-05
+5600;+0.0000000000000000e+00;+1.7393963421113945e-05;+0.0000000000000000e+00;+2.9262498361063729e-06;+1.7393963421113945e-05;+4.3195471938976897e-14;+1.8938620211066272e-05
+5700;+0.0000000000000000e+00;+1.6358496119821306e-05;+0.0000000000000000e+00;+3.0060840627066126e-06;+1.6358496119821306e-05;+4.6427834591209277e-14;+1.7123602521471252e-05
+5800;+0.0000000000000000e+00;+1.7039065410705861e-05;+0.0000000000000000e+00;+3.0463910122546107e-06;+1.7039065410705861e-05;+4.5298849010404203e-14;+1.7065489950116086e-05
+5900;+0.0000000000000000e+00;+1.8787494539017286e-05;+0.0000000000000000e+00;+3.0912188670304204e-06;+1.8787494539017286e-05;+4.6764178418611639e-14;+1.7327636385226016e-05
+6000;+0.0000000000000000e+00;+1.8399788886308208e-05;+0.0000000000000000e+00;+3.1563511656304824e-06;+1.8399788886308208e-05;+4.9033868030797967e-14;+1.9160771419328894e-05
+6100;+0.0000000000000000e+00;+1.8952601512703051e-05;+0.0000000000000000e+00;+3.2091089075600808e-06;+1.8952601512703051e-05;+4.8366083060343724e-14;+1.9478477903792930e-05
+6200;+0.0000000000000000e+00;+1.9330104084623729e-05;+0.0000000000000000e+00;+3.2509822418889765e-06;+1.9330104084623729e-05;+5.0900305794577065e-14;+1.8675020397301527e-05
+6300;+0.0000000000000000e+00;+1.8252057095385563e-05;+0.0000000000000000e+00;+3.2333011402938479e-06;+1.8252057095385563e-05;+5.2263024550253366e-14;+2.0990924398958171e-05
+6400;+0.0000000000000000e+00;+2.1239346317969335e-05;+0.0000000000000000e+00;+3.3022541766390444e-06;+2.1239346317969335e-05;+5.2905703622358870e-14;+2.1178272299818588e-05
+6500;+0.0000000000000000e+00;+2.0875429795512672e-05;+0.0000000000000000e+00;+3.3931045886947422e-06;+2.0875429795512672e-05;+5.6116032695146160e-14;+2.0652198054894453e-05
+6600;+0.0000000000000000e+00;+2.0940271831822903e-05;+0.0000000000000000e+00;+3.4530706196695282e-06;+2.0940271831822903e-05;+5.5506161681102794e-14;+2.4066802604263008e-05
+6700;+0.0000000000000000e+00;+2.2398897391922397e-05;+0.0000000000000000e+00;+3.4655761892722913e-06;+2.2398897391922397e-05;+5.4401736143092884e-14;+2.3321231287208016e-05
+6800;+0.0000000000000000e+00;+2.2794630508473931e-05;+0.0000000000000000e+00;+3.4359359971610426e-06;+2.2794630508473931e-05;+5.7153340118238644e-14;+2.2460199275409127e-05
+6900;+0.0000000000000000e+00;+2.1439966227811844e-05;+0.0000000000000000e+00;+3.5601378434389314e-06;+2.1439966227811844e-05;+5.8632405010962492e-14;+2.3783366562410494e-05
+7000;+0.0000000000000000e+00;+2.4776306273780437e-05;+0.0000000000000000e+00;+3.5455879452869000e-06;+2.4776306273780437e-05;+5.9834291699778036e-14;+2.4208020465580280e-05
+7100;+0.0000000000000000e+00;+2.3432319680418217e-05;+0.0000000000000000e+00;+3.6664840636040618e-06;+2.3432319680418217e-05;+5.7317410774094844e-14;+2.3956878854274609e-05
+7200;+0.0000000000000000e+00;+2.3123769999701805e-05;+0.0000000000000000e+00;+3.7097467832150809e-06;+2.3123769999701805e-05;+6.3379206042864576e-14;+2.3525263064601284e-05
+7300;+0.0000000000000000e+00;+2.4881484468485377e-05;+0.0000000000000000e+00;+3.8493861488759075e-06;+2.4881484468485377e-05;+6.2071883567353234e-14;+2.4656105681057400e-05
+7400;+0.0000000000000000e+00;+2.4997424860853521e-05;+0.0000000000000000e+00;+3.8189542032116077e-06;+2.4997424860853521e-05;+6.5081433578346039e-14;+2.4870226969052864e-05
+7500;+0.0000000000000000e+00;+2.5071891673611694e-05;+0.0000000000000000e+00;+3.8781340076551465e-06;+2.5071891673611694e-05;+6.9198856469664384e-14;+2.4136236359773232e-05
+7600;+0.0000000000000000e+00;+2.5783747954772405e-05;+0.0000000000000000e+00;+3.9023914518039229e-06;+2.5783747954772405e-05;+6.9704745428837567e-14;+2.7363086564585451e-05
+7700;+0.0000000000000000e+00;+2.5649742013413788e-05;+0.0000000000000000e+00;+3.8791180867914452e-06;+2.5649742013413788e-05;+6.8408355320273345e-14;+2.6260968453218911e-05
+7800;+0.0000000000000000e+00;+2.6465773345384694e-05;+0.0000000000000000e+00;+3.9238563359797430e-06;+2.6465773345384694e-05;+6.6256178102356943e-14;+2.5711916020547800e-05
+7900;+0.0000000000000000e+00;+2.7987060761299690e-05;+0.0000000000000000e+00;+3.9913245392674299e-06;+2.7987060761299690e-05;+7.0347391742319836e-14;+2.7528978197869922e-05
+8000;+0.0000000000000000e+00;+2.6925778081456677e-05;+0.0000000000000000e+00;+3.9684023460725346e-06;+2.6925778081456677e-05;+6.8139411405275106e-14;+2.7406845008050038e-05
+8100;+0.0000000000000000e+00;+2.9306850109700594e-05;+0.0000000000000000e+00;+4.0550255394324642e-06;+2.9306850109700594e-05;+7.3853361536944413e-14;+2.7486843717575301e-05
+8200;+0.0000000000000000e+00;+2.9792164870424739e-05;+0.0000000000000000e+00;+4.0896266999593954e-06;+2.9792164870424739e-05;+7.6367802354395950e-14;+2.8118597030662644e-05
+8300;+0.0000000000000000e+00;+2.7005236488231680e-05;+0.0000000000000000e+00;+4.1687622069724956e-06;+2.7005236488231680e-05;+7.6212845660618031e-14;+2.9518897762160878e-05
+8400;+0.0000000000000000e+00;+2.8125527624769229e-05;+0.0000000000000000e+00;+4.1584241311938607e-06;+2.8125527624769229e-05;+7.6323360119462253e-14;+2.9933851683641505e-05
+8500;+0.0000000000000000e+00;+2.9838029110046965e-05;+0.0000000000000000e+00;+4.2432541514873047e-06;+2.9838029110046965e-05;+7.7860359281341045e-14;+2.8720552861571928e-05
+8600;+0.0000000000000000e+00;+3.0357924859538161e-05;+0.0000000000000000e+00;+4.2612540191955921e-06;+3.0357924859538161e-05;+7.4121823720567990e-14;+2.9790848302269153e-05
+8700;+0.0000000000000000e+00;+3.1099602380222141e-05;+0.0000000000000000e+00;+4.2622429305545712e-06;+3.1099602380222141e-05;+7.9015719316125413e-14;+2.9905329064959562e-05
+8800;+0.0000000000000000e+00;+3.0640582899789022e-05;+0.0000000000000000e+00;+4.3667382460919447e-06;+3.0640582899789022e-05;+8.2365021504319320e-14;+3.1034666523980798e-05
+8900;+0.0000000000000000e+00;+3.1336709642631340e-05;+0.0000000000000000e+00;+4.4097092183953040e-06;+3.1336709642631340e-05;+7.9364410471972921e-14;+3.0986535515790869e-05
+9000;+0.0000000000000000e+00;+3.0600053416290080e-05;+0.0000000000000000e+00;+4.4991186863025772e-06;+3.0600053416290080e-05;+9.0395376782526931e-14;+3.2883037528400015e-05
+9100;+0.0000000000000000e+00;+3.2903475103582127e-05;+0.0000000000000000e+00;+4.5116517667387424e-06;+3.2903475103582127e-05;+8.6453459699903335e-14;+3.1722878651365742e-05
+9200;+0.0000000000000000e+00;+3.3792792063830469e-05;+0.0000000000000000e+00;+4.5855608404126245e-06;+3.3792792063830469e-05;+8.9121409847736228e-14;+3.2985223401110284e-05
