Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
2800;+0.0000000000000000e+00;+7.0627686031200645e-06;+0.0000000000000000e+00;+1.5091759180015475e-06;+7.0627686031200645e-06;+1.6920988139586997e-14;+6.4398438909762660e-06
2850;+0.0000000000000000e+00;+6.9795277849536886e-06;+0.0000000000000000e+00;+1.5382064300222356e-06;+6.9795277849536886e-06;+1.8079164984946520e-14;+6.9119622634840099e-06
2900;+0.0000000000000000e+00;+7.4455178247951797e-06;+0.0000000000000000e+00;+1.6220497401019653e-06;+7.4455178247951797e-06;+1.7897874548317269e-14;+7.2974930219289758e-06
2950;+0.0000000000000000e+00;+6.8267449120089943e-06;+0.0000000000000000e+00;+1.6611994491553574e-06;+6.8267449120089943e-06;+1.9142769701668988e-14;+7.3303495314995785e-06
3000;+0.0000000000000000e+00;+7.4239114868043210e-06;+0.0000000000000000e+00;+1.6665521116025560e-06;+7.4239114868043210e-06;+1.9656765785769943e-14;+7.6741939255705326e-06
3050;+0.0000000000000000e+00;+7.5047464295625867e-06;+0.0000000000000000e+00;+1.7228439211616499e-06;+7.5047464295625867e-06;+1.8745161042215992e-14;+8.1157367367584252e-06
3100;+0.0000000000000000e+00;+7.2295231306857340e-06;+0.0000000000000000e+00;+1.7514558992523854e-06;+7.2295231306857340e-06;+2.1540680395944343e-14;+8.3590846480413813e-06
3150;+0.0000000000000000e+00;+7.5747953760573967e-06;+0.0000000000000000e+00;+1.7360756874150891e-06;+7.5747953760573967e-06;+2.0449339101474797e-14;+8.1276602653242183e-06
3200;+0.0000000000000000e+00;+7.6205348813111448e-06;+0.0000000000000000e+00;+1.7750904266593067e-06;+7.6205348813111448e-06;+2.1236607679142727e-14;+8.4484531299850936e-06
3250;+0.0000000000000000e+00;+8.1328664070702126e-06;+0.0000000000000000e+00;+1.7811822551145334e-06;+8.1328664070702126e-06;+2.0858929223294295e-14;+8.5873664012576358e-06
3300;+0.0000000000000000e+00;+8.0766165966752669e-06;+0.0000000000000000e+00;+1.7991373242274340e-06;+8.0766165966752669e-06;+2.2004408297481435e-14;+8.2517427216226408e-06
3350;+0.0000000000000000e+00;+8.4764335008939372e-06;+0.0000000000000000e+00;+1.8274239996247094e-06;+8.4764335008939372e-06;+2.2435508989401951e-14;+9.1318081799976402e-06
3400;+0.0000000000000000e+00;+8.8359661911659241e-06;+0.0000000000000000e+00;+1.8764914805971232e-06;+8.8359661911659241e-06;+2.3114028971054973e-14;+8.8824552755800318e-06
