Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
145000000;2.6105279922485352e+00;1.3292800188064575e+00;2.6087999343872070e+00;1.3337279558181763e+00;1.3330559730529785e+00;2.6176960468292236e+00;1.3442560434341431e+00;0.0000000000000000e+00;5.5512403890816392e-08;2.0553712470944799e-16;5.4834499701802693e-08;2.7552830688704088e-07;6.1661137412834402e-16;5.4834499701802693e-08
147000000;2.6441919803619385e+00;1.3466240167617798e+00;2.6434879302978516e+00;1.3540480136871338e+00;1.3505280017852783e+00;2.6477758884429932e+00;1.3658560514450073e+00;0.0000000000000000e+00;3.2058378038566408e-07;2.0274052925235897e-16;5.9526981315658385e-09;4.2942927322474072e-07;6.0822158775707691e-16;5.9526981315658385e-09
149000000;2.6785919666290283e+00;1.3648960590362549e+00;2.6784319877624512e+00;1.3729599714279175e+00;1.3683840036392212e+00;2.6893761157989502e+00;1.3814400434494019e+00;0.0000000000000000e+00;1.6582221238094983e-06;6.0006006926067771e-16;4.7448140615682330e-08;1.5508371915965773e-06;2.0002002308689256e-16;5.9936791597238735e-08
151000000;2.7150080204010010e+00;1.3848639726638794e+00;2.7161600589752197e+00;1.3894079923629761e+00;1.3892480134963989e+00;2.7280321121215820e+00;1.4015680551528931e+00;0.0000000000000000e+00;1.2152426683701259e-06;0.0000000000000000e+00;4.9655852197626416e-08;1.3212051062039895e-06;9.8685210415966421e-16;5.6306585636237171e-08
153000000;2.7528638839721680e+00;1.4011520147323608e+00;2.7511680126190186e+00;1.4092160463333130e+00;1.4042240381240845e+00;2.7588798999786377e+00;1.4118080139160156e+00;0.0000000000000000e+00;3.9798389620619918e-07;1.9478907290603428e-16;2.0322452668589238e-08;3.9798389620619918e-07;2.5322579477784456e-15;2.0322452668589238e-08
155000000;2.7888319492340088e+00;1.4196159839630127e+00;2.7875199317932129e+00;1.4280960559844971e+00;1.4249279499053955e+00;2.7963199615478516e+00;1.4385919570922852e+00;0.0000000000000000e+00;1.3893486824154057e-06;1.9227823874921591e-16;4.7376968279816855e-08;1.4925772758104508e-06;3.0764518199874545e-15;4.7376968279816855e-08
157000000;2.8241279125213623e+00;1.4380480051040649e+00;2.8229439258575439e+00;1.4458559751510620e+00;1.4446079730987549e+00;2.8328959941864014e+00;1.4554879665374756e+00;0.0000000000000000e+00;2.7960161234075676e-07;3.7966282819453210e-16;2.6143280897189895e-08;1.7768664792810786e-07;2.6576397973617245e-15;2.6143280897189895e-08
159000000;2.8565759658813477e+00;1.4574719667434692e+00;2.8547520637512207e+00;1.4647040367126465e+00;1.4619200229644775e+00;2.8688960075378418e+00;1.4751360416412354e+00;0.0000000000000000e+00;8.1959367378168042e-07;1.8744233025685153e-16;1.4534995442471831e-08;6.1832900419687824e-07;1.1246539815411091e-15;1.4534995442471831e-08
161000000;2.8949759006500244e+00;1.4750399589538574e+00;2.8962879180908203e+00;1.4800640344619751e+00;1.4783680438995361e+00;2.9044160842895508e+00;1.4909440279006958e+00;0.0000000000000000e+00;4.6352140750503432e-07;3.7022292369080299e-16;3.3383389207935197e-08;6.6228332619022218e-07;2.0362260802994164e-15;3.3383389207935197e-08
163000000;2.9314239025115967e+00;1.4912639856338501e+00;2.9332160949707031e+00;1.4997760057449341e+00;1.4972159862518311e+00;2.9434878826141357e+00;1.5084160566329956e+00;0.0000000000000000e+00;1.9179788916324506e-06;5.4851780631157955e-16;4.5242807852463069e-08;1.7216567216839592e-06;1.6455534189347387e-15;4.5242807852463069e-08
165000000;2.9667201042175293e+00;1.5106879472732544e+00;2.9662079811096191e+00;1.5177600383758545e+00;1.5144000053405762e+00;2.9686079025268555e+00;1.5291520357131958e+00;0.0000000000000000e+00;7.2452116580236575e-07;1.8062285875780735e-16;4.5723053436907269e-08;7.2452116580236575e-07;5.4186857627342200e-16;5.1248105472443943e-08
167000000;3.0050239562988281e+00;1.5288000106811523e+00;3.0040640830993652e+00;1.5360640287399292e+00;1.5329600572586060e+00;3.0119040012359619e+00;1.5467200279235840e+00;0.0000000000000000e+00;4.0289173239152379e-07;1.7846082964263040e-16;1.9650018925461303e-08;2.1127087565849255e-07;2.3199907853541953e-15;1.9650018925461303e-08
169000000;3.0383679866790771e+00;1.5451519489288330e+00;3.0421760082244873e+00;1.5524480342864990e+00;1.5503679513931274e+00;3.0445120334625244e+00;1.5691200494766235e+00;0.0000000000000000e+00;4.9901619100123622e-07;3.5269966465788064e-16;2.5630714433809847e-08;4.9901619100123622e-07;1.7634983232894032e-16;1.2030780974729513e-07
171000000;3.0723841190338135e+00;1.5634239912033081e+00;3.0736639499664307e+00;1.5728000402450562e+00;1.5685440301895142e+00;3.0825600624084473e+00;1.5853439569473267e+00;0.0000000000000000e+00;6.3269492778134672e-08;5.2286173724760964e-16;3.0300259797208186e-08;1.5683924535347752e-07;1.3942979659936257e-15;3.0300259797208186e-08
173000000;3.1108479499816895e+00;1.5820480585098267e+00;3.1125121116638184e+00;1.5913920402526855e+00;1.5888320207595825e+00;3.1157441139221191e+00;1.5978239774703979e+00;0.0000000000000000e+00;9.2065683180450218e-07;6.8909142887349890e-16;4.2260278722439511e-09;5.5070368793380375e-07;6.8909142887349890e-16;4.2260278722439511e-09
175000000;3.1454401016235352e+00;1.6019200086593628e+00;3.1485440731048584e+00;1.6075199842453003e+00;1.6046080589294434e+00;3.1555840969085693e+00;1.6240960359573364e+00;0.0000000000000000e+00;4.0374522988475964e-07;0.0000000000000000e+00;3.8020330513383835e-08;4.9517645472760360e-07;8.5151963720884125e-16;3.8020330513383835e-08
177000000;3.1816639900207520e+00;1.6190400123596191e+00;3.1867520809173584e+00;1.6256639957427979e+00;1.6259520053863525e+00;3.1862080097198486e+00;1.6408319473266602e+00;0.0000000000000000e+00;9.5392249752852597e-07;1.6837734432155428e-16;4.0443384938033658e-08;9.5392249752852597e-07;1.6837734432155428e-16;4.0443384938033658e-08
179000000;3.2194879055023193e+00;1.6371519565582275e+00;3.2187840938568115e+00;1.6468160152435303e+00;1.6428480148315430e+00;3.2263040542602539e+00;1.6597759723663330e+00;0.0000000000000000e+00;3.9751635491208771e-07;0.0000000000000000e+00;3.9968816298272196e-08;4.8690323956554161e-07;3.3299209420924591e-16;3.9968816298272196e-08
