Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
65000000;0.0000000000000000e+00;1.0848906172500959e-06;2.6922311091822768e-15;2.3099804063878029e-08;1.0286916672484351e-06;1.7553424785120646e-15;4.6127768265604160e-07
67000000;0.0000000000000000e+00;9.9020275947495362e-07;1.8772383519089164e-15;1.4442083892416825e-08;1.4496939503399998e-06;1.2120597009972273e-15;2.9506658395426494e-07
69000000;0.0000000000000000e+00;1.2033832854783509e-06;2.8299401913753391e-15;2.8990244133723270e-08;8.8063978589760557e-07;1.3838701184234517e-15;5.7835772945443849e-07
71000000;0.0000000000000000e+00;8.0206010357081426e-07;1.7201748330785709e-15;3.3135616499853786e-08;8.9664480624943578e-07;1.5081194838334211e-15;2.1409096885872078e-07
73000000;0.0000000000000000e+00;7.6612416698932745e-07;1.5331974103210879e-15;2.5173340192065911e-08;1.1361638596573722e-06;2.0065742546742847e-15;3.6932532399300421e-07
75000000;0.0000000000000000e+00;8.1171130733075476e-07;1.3681546165116369e-15;6.9068279055912545e-09;9.8820672584628063e-07;2.5720683292311804e-15;5.0469410795406596e-07
77000000;0.0000000000000000e+00;9.6917002817837994e-07;1.8983268728300203e-15;3.8260750320613909e-08;1.1188283837651917e-06;1.1459563597921936e-15;3.1048400904025052e-07
79000000;0.0000000000000000e+00;7.2491269774898511e-07;1.2017568544067918e-15;1.6353491469236263e-08;5.0373423815071569e-07;1.6889776729596899e-15;3.1667650339420391e-07
81000000;0.0000000000000000e+00;6.1147611161304861e-07;1.5656811037871291e-15;2.9620919298423414e-08;4.3581807792049512e-07;1.8792351099667533e-15;1.4027565056543089e-07
83000000;0.0000000000000000e+00;3.7763186014944578e-07;1.6448087307717641e-15;3.3791490735977258e-08;5.3484838525523487e-07;1.6376113578260867e-15;3.3151791369809564e-07
85000000;0.0000000000000000e+00;5.8168453555048840e-07;1.3734308358377468e-15;2.4868749663439402e-08;1.3026354552605857e-06;1.2454613249916031e-15;1.9906543827832395e-07
87000000;0.0000000000000000e+00;7.8680897620455145e-07;1.3043155238233701e-15;1.6005399441893881e-08;1.1479893183816369e-06;1.9239670329969214e-15;2.0470583778610801e-07
89000000;0.0000000000000000e+00;8.7949349557763435e-07;6.1660100799812466e-16;1.2658412818989912e-08;5.2972919776299861e-07;1.4575310316186440e-15;1.6482211680999766e-07
91000000;0.0000000000000000e+00;5.4987089895321352e-07;5.8964149171490993e-16;3.1891275797480437e-08;7.0252124350087740e-07;1.0257126849596539e-15;1.6747091624392314e-07
93000000;0.0000000000000000e+00;6.4799182425447895e-07;5.3452216799784663e-16;7.3516484498921653e-09;8.5848310087175680e-07;7.7983171954664014e-16;2.6139429911189662e-07
95000000;0.0000000000000000e+00;6.4401969369320156e-07;1.5322452061285685e-15;2.5046289405651842e-08;6.8939400776899102e-07;1.7304515846925656e-15;2.1047902799447214e-07
97000000;0.0000000000000000e+00;2.3738114714478673e-07;1.1852189722218791e-15;3.7427866588667099e-08;5.0544951362290316e-07;2.0537838287884549e-15;2.7382656945555825e-07
99000000;0.0000000000000000e+00;1.0399657891446416e-06;6.1164184213744690e-16;2.4482475848468228e-08;5.4290118952003471e-07;1.9503893358914624e-15;2.0365536109637664e-07
101000000;0.0000000000000000e+00;5.8442919012890886e-07;1.1514620309376194e-15;2.1746625976283815e-08;1.2869391738300000e-06;1.3566343481813351e-15;2.0147939512983666e-07
103000000;0.0000000000000000e+00;7.7464110396504431e-07;1.2744484189610808e-15;1.9928362557111666e-08;7.7074472123077540e-07;1.6195694304555416e-15;1.1894184488279589e-07
105000000;0.0000000000000000e+00;5.7783565406865451e-07;8.7483902151766732e-16;2.0629196842116684e-08;9.5141473861949925e-07;1.5759294913828549e-15;2.2039117787756966e-07
107000000;0.0000000000000000e+00;1.0751383642300570e-06;1.6087307470937483e-15;2.6444357530595639e-08;8.6182562886451227e-07;1.4596973333352563e-15;2.8511943406606287e-07
109000000;0.0000000000000000e+00;1.1423551486226732e-06;1.2064625035263264e-15;2.8404563323140209e-08;1.4713785400054550e-06;2.2621881005637055e-15;2.0172945109097535e-07
111000000;0.0000000000000000e+00;1.1840378555583893e-06;1.4657189293702043e-15;2.8062896214152813e-08;7.9915388285345336e-07;1.4882337639417335e-15;2.5517892618299713e-07
113000000;0.0000000000000000e+00;6.0895597888110357e-07;2.1534688123420011e-15;2.1597780511745221e-08;4.5332776388085114e-07;1.9803187275230166e-15;3.1185679663974653e-07
115000000;0.0000000000000000e+00;1.3190750546518310e-06;2.3554439242802046e-15;2.6975458511569177e-08;1.3081579501572472e-06;1.3271467754404353e-15;1.6592098121854523e-07
117000000;0.0000000000000000e+00;9.1752922664337725e-07;1.1028469615056831e-15;1.6130505585340803e-08;5.1039990040848161e-07;1.0129135279351170e-15;2.6554937217400396e-07
119000000;0.0000000000000000e+00;7.6220834725141101e-07;2.1798598874453725e-15;1.9325123860093192e-08;8.7350952205166796e-07;1.8849786681015971e-15;2.7635400784958314e-07
121000000;0.0000000000000000e+00;5.8722649034372917e-07;2.1947808598585241e-15;4.6079468195472667e-08;1.0817800032278662e-06;1.5340036809048071e-15;4.2859597201368637e-07
123000000;0.0000000000000000e+00;1.5001714816055818e-06;1.6550644956100765e-15;4.3286211080405482e-08;1.3502570501873036e-06;2.5583970258818850e-15;3.6945960608887019e-07
125000000;0.0000000000000000e+00;1.4468672649647056e-06;1.9302174337262749e-15;5.0080066288771144e-08;1.2948256601195246e-06;2.4627125112229522e-15;3.2498738088858936e-07
127000000;0.0000000000000000e+00;1.3446772340537169e-06;2.3513480493857710e-15;2.2281131623087202e-08;1.5223748797528383e-06;1.8185613906532879e-15;3.6281588350619235e-07
129000000;0.0000000000000000e+00;1.5286643435668599e-06;1.3669060255907194e-15;2.4507407969723231e-08;1.4852806563500310e-06;2.0632570127435983e-15;5.0960705950724128e-07
131000000;0.0000000000000000e+00;1.2299986895558352e-06;1.7175966946250402e-15;2.1156442183933750e-08;9.9965675787694156e-07;2.5110315958177752e-15;3.1904721113814116e-07
133000000;0.0000000000000000e+00;9.9562785399499094e-07;1.0537940391991285e-15;3.4930087123139023e-08;1.2165068505202838e-06;1.5890111879489825e-15;5.8397732689186572e-07
135000000;0.0000000000000000e+00;1.0667534226692190e-06;1.6971619704091299e-15;5.3058794418328840e-08;1.1476510483006998e-06;2.2849685886090868e-15;6.6343014994519545e-07
137000000;0.0000000000000000e+00;1.5720890460188372e-06;2.4787145731870193e-15;6.9359583849378067e-08;2.7493184368293940e-06;3.1374224072444662e-15;6.9975988121162176e-07
139000000;0.0000000000000000e+00;1.6613767969639320e-06;2.6355128654993730e-15;4.5804928645837584e-08;2.1705208706452747e-06;2.6601125233765654e-15;1.3817719436060174e-06
141000000;0.0000000000000000e+00;2.2400322220744152e-06;1.5988383448824880e-15;4.1374795122229755e-08;1.7726088340471410e-06;3.0372420623690965e-15;1.0007924036777880e-06
143000000;0.0000000000000000e+00;1.8593322257226223e-06;4.3247628933419776e-15;5.6105037780379667e-08;2.0148731528589901e-06;3.2312052384255685e-15;1.0545336905659335e-06
145000000;0.0000000000000000e+00;2.6568785754445333e-06;6.5120741995966792e-15;5.9690680320238122e-08;1.1755023992657057e-06;5.7379133171162539e-15;1.9620325934049885e-06
147000000;0.0000000000000000e+00;2.0004051044973365e-06;2.2982037801094074e-15;2.0218555395053170e-08;1.8884966160428207e-06;4.7168455399339906e-15;1.4906373014390096e-06
149000000;0.0000000000000000e+00;5.3019208861025644e-06;2.2121261531444341e-15;7.4044773651370834e-08;1.5084091198099585e-06;5.3541267721815892e-15;2.1925662391552891e-06
151000000;0.0000000000000000e+00;2.4313666664698637e-06;2.3958853215620365e-15;7.0308196722576986e-08;2.8215097470502827e-06;5.0727419047269367e-15;1.8247613747104973e-06
153000000;0.0000000000000000e+00;1.2779836987990496e-06;4.1197056435539068e-15;2.1264130469043932e-08;1.7749722972667507e-06;5.9285726587542367e-15;1.6637925146812654e-06
