Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
151000000;0.0000000000000000e+00;4.7526087352404930e-06;2.4137974963685114e-14;8.5767953044635399e-08;3.1389399963270186e-06;2.8507030104445589e-14;2.0945287494143109e-06
153000000;0.0000000000000000e+00;7.2315849314977089e-06;1.7127342942873124e-14;1.3906080447378812e-07;1.0487646063121649e-05;1.5371382947104114e-14;1.0538700993593802e-06
155000000;0.0000000000000000e+00;2.9906529665701394e-06;1.1101365151106177e-14;1.1759014481052858e-07;2.1926441514764596e-06;1.9431522573890764e-14;2.5594952866579581e-06
157000000;0.0000000000000000e+00;5.2075536859396428e-06;9.8199501072058205e-15;6.4282870675499775e-08;3.7663188856179881e-06;1.0611642041875475e-14;5.7242546714828346e-07
159000000;0.0000000000000000e+00;1.5342295233737233e-06;2.8605684249415495e-15;2.6863002803283230e-08;1.4108063294368387e-06;8.4722271999838762e-15;4.8615831030800941e-07
161000000;0.0000000000000000e+00;9.0171080113150069e-07;8.6670788707636787e-15;4.4508122673269680e-08;3.8225655305930922e-06;5.5079906627813071e-15;1.4806673380543572e-06
163000000;0.0000000000000000e+00;2.3805555318804368e-06;2.7141094309687823e-15;3.4154827176775278e-08;1.4215699406210283e-06;2.9135557616726773e-15;9.2474339750161439e-07
165000000;0.0000000000000000e+00;2.7856317442709836e-05;6.5601778618910720e-14;8.2681147710648812e-07;6.3528367652843590e-06;5.8997143472694092e-14;9.4956579236866612e-06
167000000;0.0000000000000000e+00;1.1076754072178609e-06;3.4660137686437377e-15;3.4090461688485222e-08;1.2221101019782394e-06;4.9667306618379828e-15;9.4424534488959333e-07
169000000;0.0000000000000000e+00;6.0025879151473958e-06;3.0945951056414321e-14;2.2981131217901344e-07;7.1914329825466851e-06;2.1434730333635795e-14;5.4281541187393308e-06
171000000;0.0000000000000000e+00;2.8195130456313428e-06;5.3444574863164981e-15;4.0897327188459623e-08;2.3676964232664715e-06;3.5695594180593167e-15;6.6357019753770327e-07
173000000;0.0000000000000000e+00;1.2856455994471823e-06;7.1635750801896181e-15;5.0958341584773367e-08;1.7145701606730501e-06;7.3161246000158240e-15;7.7087650352498424e-07
175000000;0.0000000000000000e+00;2.2163769866713124e-06;1.7924507104917053e-15;2.5201033247514613e-08;1.6321475670355210e-06;3.4216313252275683e-15;6.9940319610480686e-07
177000000;0.0000000000000000e+00;1.0639779258831767e-06;2.4014964281316282e-15;2.1032673356345479e-08;1.5248622745596200e-06;4.5187704362512302e-15;5.8952570981543154e-07
179000000;0.0000000000000000e+00;7.0525972601603771e-06;8.3039474904403272e-15;3.4666034995929248e-08;5.7899837911618873e-06;2.3161047477240703e-14;1.9471719740878606e-06
181000000;0.0000000000000000e+00;3.0858100773934021e-06;5.5342908914912785e-15;2.2143517609840026e-08;3.0663419924376095e-06;6.8922362375401274e-15;1.1494592799479378e-06
183000000;0.0000000000000000e+00;2.4662010127584605e-06;6.2123401422660782e-15;3.9355641072165890e-08;2.5845293047816149e-06;7.6641762040719151e-15;1.0957740990349574e-06
185000000;0.0000000000000000e+00;2.9404891772597952e-06;8.7137183784948575e-15;4.4730819884689720e-08;2.1725802168072944e-06;9.8420737830542654e-15;1.7549658027991482e-06
187000000;0.0000000000000000e+00;2.4318062150763936e-05;5.5116859252034875e-14;2.1231875104980944e-07;1.5618355588906619e-05;1.3313985335005732e-14;5.4021669155300775e-06
189000000;0.0000000000000000e+00;8.1595292930334851e-03;1.0983993277688921e-11;3.0614200584092944e-04;4.1029126972355950e-03;2.7408995735038523e-12;1.0079894876136364e-02
191000000;0.0000000000000000e+00;6.7656518847539464e-06;1.6574105613554661e-14;9.4532183621337966e-08;9.7291723119732527e-06;1.8277315215296259e-14;4.4298352480394399e-06
193000000;0.0000000000000000e+00;1.3050893234906651e-05;3.6406592749372208e-14;5.8336049130841088e-07;2.3231176465126333e-05;3.1720542062902689e-14;1.7838224055255436e-05
195000000;0.0000000000000000e+00;1.0013914619913167e-05;2.0386015680807696e-14;1.8000054350988735e-07;5.8335456360628736e-06;1.8841400588943905e-14;5.0722945772032843e-06
197000000;0.0000000000000000e+00;1.6640812417907114e-05;6.0160296819585475e-14;4.3344658867780791e-07;2.3836436938574593e-05;4.3291288529848953e-14;9.6566650953069693e-06
199000000;0.0000000000000000e+00;1.1512323541945545e-05;4.3830539333635358e-14;2.0565089348681797e-07;1.7732297899953951e-05;2.4671559493661841e-14;5.9145773523374080e-06
201000000;0.0000000000000000e+00;1.9350131587505204e-05;5.9656171875809227e-14;5.3872268886883341e-07;2.5741133244136522e-05;2.1349597048394510e-14;9.9041988352303600e-06
203000000;0.0000000000000000e+00;3.6849461285809322e-06;6.6864490802589497e-15;6.6397548514736931e-08;3.9138870228335105e-06;4.8655480690236670e-15;1.6929062297973400e-06
205000000;0.0000000000000000e+00;1.7062965247285651e-05;1.5480581241866615e-14;6.5225266624360817e-07;4.2641184614036468e-05;4.4808157780820763e-14;9.7838483998609278e-06
207000000;0.0000000000000000e+00;3.7087658898192157e-06;5.5829085017020953e-15;4.6390183831497863e-08;2.7622980031367529e-06;7.2730076715487310e-15;1.7400028474597167e-06
209000000;0.0000000000000000e+00;8.1400939503298597e-06;1.1021767604369779e-14;1.6723373261551111e-07;4.6716690422314617e-06;1.0904792767946200e-14;2.6553933736951447e-06
211000000;0.0000000000000000e+00;1.6053324497624226e-06;3.9907996729850482e-15;3.1551567956496545e-08;1.6342388451156858e-06;3.0290152927353284e-15;1.0694259674781683e-06
213000000;0.0000000000000000e+00;1.4028408772286064e-06;3.0712120684428786e-15;2.1616882945866803e-08;1.7595635609704745e-06;3.2853678551890414e-15;1.2078203161863128e-06
215000000;0.0000000000000000e+00;2.0516673189284824e-06;3.1286576552676320e-15;2.5937959722045372e-08;2.0049343582746030e-06;8.4263042054856296e-15;2.1428688776490283e-06
217000000;0.0000000000000000e+00;1.9271467867312256e-06;4.6344173572314648e-15;2.3739947270882641e-08;1.6734240207772529e-06;3.0450794136353001e-15;8.8413101714193191e-07
219000000;0.0000000000000000e+00;8.7870281518047656e-07;2.5718426563900549e-15;2.1137450117929463e-08;1.3294781750717241e-06;3.1084050442384393e-15;7.9987737742473265e-07
221000000;0.0000000000000000e+00;1.0619013548219923e-06;2.4547634519522294e-15;2.2312235159824166e-08;1.0772243523558939e-06;2.8588284643935697e-15;6.9185632327165199e-07
223000000;0.0000000000000000e+00;1.3490720907950274e-06;4.1827440047813153e-14;1.8573072615577497e-07;1.7022069835914759e-06;3.9815346643694428e-15;2.9048886535667673e-06
225000000;0.0000000000000000e+00;1.2152571337258647e-06;2.5617509734066028e-15;1.7958680522532378e-08;1.1437860485085969e-06;3.0804051464310883e-15;5.5325549419552716e-07
227000000;0.0000000000000000e+00;3.2995602432979993e-06;9.5471425820552772e-15;2.9312292536571736e-08;3.9211968754169194e-06;8.5622817620009690e-15;8.2584998345466033e-07
229000000;0.0000000000000000e+00;1.1804355465958986e-06;2.2779442245828481e-15;1.3635721402431527e-08;1.4511608427940786e-06;3.0577569022342639e-15;7.6829459839288121e-07
231000000;0.0000000000000000e+00;8.7117455369212389e-07;5.9390265880143318e-15;2.7605893733757969e-08;3.3560098388565392e-06;3.4001524112878357e-15;1.8005960875344692e-06
233000000;0.0000000000000000e+00;1.5206048533174798e-06;5.4470170941608094e-15;9.9841264154776800e-09;1.4538192407154638e-06;4.3395611543135802e-15;8.4235360349733753e-07
235000000;0.0000000000000000e+00;1.0782554923375933e-06;2.6935548906141208e-15;1.1970128691788519e-08;1.4822758905980846e-06;3.7084485149045131e-15;9.0174977369562857e-07
237000000;0.0000000000000000e+00;1.0299919456663496e-06;3.0200989126461275e-15;1.1907291534797595e-08;1.2405444022056089e-06;3.5259556564477079e-15;9.5294897735713716e-07
239000000;0.0000000000000000e+00;1.6343557276169881e-06;3.2564163843476831e-15;1.9174485035877062e-08;1.2843482813451586e-06;5.7915796707883862e-15;1.3544958651151148e-06
241000000;0.0000000000000000e+00;1.9354008028073294e-06;2.6649626341823391e-15;1.6333577027663580e-08;2.5230562281752707e-06;2.2920463008451892e-15;1.2091291449746870e-06
243000000;0.0000000000000000e+00;1.5806194148070736e-06;2.8183841283642771e-15;9.0764809908093396e-08;2.1274011627368199e-06;6.9944203311371624e-15;5.2678925911338972e-06
245000000;0.0000000000000000e+00;3.5119465012658657e-06;4.7603463960859964e-15;3.0288387962715301e-08;2.3212412608799386e-06;5.9941061992747195e-15;2.1773418068343975e-06
247000000;0.0000000000000000e+00;3.1872689728798907e-06;7.8077996366170825e-15;1.4147782945363835e-07;1.3963454497724145e-06;1.2074029839736978e-14;8.2468299815553722e-06
249000000;0.0000000000000000e+00;2.1771632683671137e-06;5.2128484313913919e-15;2.8616052810479975e-08;2.9752853959702819e-06;6.7357528211250341e-15;2.3035200724170587e-06
251000000;0.0000000000000000e+00;5.6279277660455832e-06;6.8133714056784995e-15;1.3523332827732465e-07;3.6422211906572963e-06;1.7557928330229854e-14;7.9402851217322157e-06
253000000;0.0000000000000000e+00;1.3706792948063812e-06;7.5888865802269008e-15;4.0494232992682195e-08;3.3719071497199029e-06;6.8866296832089746e-15;3.9675067054624450e-06
255000000;0.0000000000000000e+00;4.4120648496384099e-06;4.0308015661047355e-15;2.4065001639166977e-08;5.8520831284748399e-06;1.1062677104707769e-14;2.6413491434995928e-06
257000000;0.0000000000000000e+00;2.5619825830314959e-06;2.9419793534090268e-15;1.3813064162744207e-08;2.3579938908025444e-06;7.2806085106735587e-15;2.2008906006005093e-06
259000000;0.0000000000000000e+00;9.1103742178521653e-07;2.6228479573960076e-15;6.5063104350936232e-09;1.6292573553669753e-06;3.9266775278910851e-15;1.3364026197959919e-06
261000000;0.0000000000000000e+00;9.4908061801797948e-07;2.8524079013965091e-15;9.4644412107125080e-09;1.0077951813610998e-06;2.3796426441372509e-15;1.2461728167601563e-06
263000000;0.0000000000000000e+00;9.3549027749951499e-07;1.5520162687414884e-15;7.3881875565516989e-09;7.8172501304985071e-07;2.8904331155875197e-15;1.1950550866728624e-06
265000000;0.0000000000000000e+00;1.0427742863982843e-06;2.0467326297374666e-15;6.8863693323017750e-09;6.7551944499491765e-07;2.7813629089022454e-15;1.0323986118254554e-06
267000000;0.0000000000000000e+00;7.7186486428821174e-07;1.5541137053998683e-15;6.5640604084735856e-09;1.2978888171845533e-06;2.8554465782104538e-15;1.0625954227326527e-06
269000000;0.0000000000000000e+00;6.7766604470706144e-07;2.7785721086716716e-15;6.2687042064173447e-09;1.0288727708840918e-06;2.3360943235248132e-15;9.1269734069699932e-07
271000000;0.0000000000000000e+00;5.3216207219362519e-07;1.9200316681524336e-15;6.4443966015254720e-09;9.0436598159145296e-07;3.6824052970684799e-15;1.0769535707210499e-06
273000000;0.0000000000000000e+00;1.8045577564649391e-06;2.6916620048561809e-15;7.6493892447617683e-09;1.1828615305728329e-06;3.2186640989206961e-15;1.0989950748057137e-06
275000000;0.0000000000000000e+00;9.6107653138104909e-07;2.1493191502722289e-15;6.1580016363249328e-09;7.8556933676309430e-07;3.6762585203959164e-15;1.1178663069156179e-06
277000000;0.0000000000000000e+00;9.9242216890270436e-07;2.4383050319957097e-15;5.9168400132881028e-09;6.1993962392091660e-07;2.5024529948830491e-15;1.1602773679768804e-06
279000000;0.0000000000000000e+00;1.1773032379103945e-06;1.7653329293201363e-15;5.7106629321856414e-09;1.2876052270514244e-06;2.3154843651807757e-15;1.1986800677110194e-06
281000000;0.0000000000000000e+00;9.3059225107118802e-07;2.5228111362641238e-15;7.4932084950559332e-09;1.1080088635354903e-06;4.3179751092918799e-15;1.2964573121846110e-06
283000000;0.0000000000000000e+00;1.1893616702969362e-06;1.9320160273102203e-15;5.3078719939414256e-09;1.2073699402508550e-06;2.4333024976718911e-15;1.1487713445083173e-06
285000000;0.0000000000000000e+00;7.5076234749027291e-07;2.3796377460598932e-15;7.0191350215561413e-09;7.6266545118532610e-07;2.8998742585293640e-15;1.3854410499458695e-06
287000000;0.0000000000000000e+00;1.5073075602949035e-06;1.6594415918337862e-15;6.3188948331984263e-09;1.3494374949942447e-06;2.8959672738025806e-15;1.0348604643659947e-06
289000000;0.0000000000000000e+00;1.7503263180903246e-06;1.5766990353841068e-15;6.1309632677621249e-09;1.6354608815482049e-06;2.2944412886655468e-15;1.0696936543729509e-06
291000000;0.0000000000000000e+00;6.3121243533237117e-07;1.4267121796852570e-15;5.7665289987558815e-09;1.0387121193690672e-06;3.1210325632565654e-15;1.0606457860048577e-06
293000000;0.0000000000000000e+00;1.1767220419759079e-06;2.7418208095625391e-15;8.0336893147134830e-09;7.8579634189853183e-07;1.9609880857395736e-15;1.0047675697801062e-06
295000000;0.0000000000000000e+00;1.0297305544289414e-06;1.6830394217968665e-15;8.6846460937175626e-09;1.4745044932194429e-06;1.4875247281648669e-15;9.4699626020239448e-07
297000000;0.0000000000000000e+00;1.2012698130759864e-06;1.9255869862305405e-15;9.8540353471808169e-09;1.1827992001928512e-06;2.0762628551338853e-15;1.1310194934372400e-06
299000000;0.0000000000000000e+00;1.5105391562990517e-06;1.4518596917593073e-15;1.1975167888566149e-08;1.1656347811381625e-06;2.6650507942239116e-15;1.1426114537574569e-06
301000000;0.0000000000000000e+00;1.2041672547132988e-06;1.9451585114177492e-15;1.1202672581125728e-08;7.3009842225801460e-07;1.6419445273475978e-15;9.6779702534093032e-07
303000000;0.0000000000000000e+00;8.7072377148193096e-07;1.5785705998250042e-15;1.2614888736908400e-08;6.4452081789057018e-07;2.2767503075017624e-15;1.0270017768926435e-06
305000000;0.0000000000000000e+00;1.0083767998006187e-06;1.9153647212770810e-15;1.2752194364507809e-08;1.1665518376608270e-06;1.3775993462585269e-15;9.9683363669211631e-07
307000000;0.0000000000000000e+00;1.7002501116784459e-06;1.2273592026885826e-15;1.4545532495940884e-08;1.4543961647746847e-06;2.1165805270448743e-15;1.0964843257607421e-06
309000000;0.0000000000000000e+00;1.2659351155051654e-06;2.0884529704694879e-15;1.5649855583243460e-08;1.3883534602471099e-06;2.9135378209774791e-15;1.1202206408048467e-06
311000000;0.0000000000000000e+00;1.3676537427755374e-06;1.6727833113053721e-15;1.8139849235900645e-08;9.4361469412778127e-07;3.2099302640021900e-15;1.0686559720194337e-06
313000000;0.0000000000000000e+00;1.6606654816179364e-06;2.0839554755511287e-15;1.8909945949971992e-08;1.4596577270295344e-06;2.5576744525951729e-15;9.7851219154622751e-07
315000000;0.0000000000000000e+00;1.0401495169175701e-06;2.0342105518690997e-15;2.1378190072904767e-08;1.0563281820910686e-06;2.1585799567922546e-15;1.0497074264038930e-06
317000000;0.0000000000000000e+00;1.3024136091112613e-06;2.2010694509752125e-15;2.1315863892548478e-08;8.1465643992665941e-07;3.1255771923036718e-15;9.2758909270330019e-07
319000000;0.0000000000000000e+00;9.3256592768892455e-07;2.4189738487018580e-15;2.5897341860470059e-08;1.0896914000606351e-06;2.8034062109431316e-15;1.0496296520136225e-06
321000000;0.0000000000000000e+00;1.2849828582352425e-06;3.3548591692567798e-15;2.8177378363038450e-08;1.4763174506594214e-06;3.3380870423072591e-15;1.1315634791493214e-06
323000000;0.0000000000000000e+00;1.4239351579060101e-06;1.5311424223430847e-15;3.2764197220403050e-08;1.3391327468105887e-06;2.0408018829919585e-15;1.1161601708768294e-06
325000000;0.0000000000000000e+00;1.7675096885338724e-06;3.2100112686595976e-15;3.6376637442063341e-08;2.2837611791879032e-06;2.8426734968965102e-15;1.1014717693966413e-06
327000000;0.0000000000000000e+00;1.7865808707087976e-06;2.2829249849381075e-15;4.8239446631339974e-08;1.7996617248914560e-06;3.5625558116199574e-15;1.4081314538409389e-06
329000000;0.0000000000000000e+00;1.2372893558293590e-06;1.6629346501843437e-15;5.3430861689877408e-08;1.1116811829552482e-06;4.2362646834636641e-15;1.6215131219145280e-06
331000000;0.0000000000000000e+00;1.7013999119412829e-06;3.9545529056967809e-15;6.8455474411977369e-08;1.7458767508948806e-06;4.2781462844885540e-15;2.2148234600205451e-06
333000000;0.0000000000000000e+00;1.5236440916340750e-06;3.6890008885566863e-15;4.8710197492794124e-08;1.4084038987707490e-06;4.3148091228950436e-15;1.4785256322281402e-06
335000000;0.0000000000000000e+00;1.4576274095760968e-06;1.7667011583013717e-15;5.4255955151685762e-08;1.6020417026122171e-06;2.4109135038589274e-15;1.5198889980362938e-06
