Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
5900;3.2665601372718811e-01;1.7027199268341064e-01;3.2691198587417603e-01;1.7056000232696533e-01;3.5779199004173279e-01;1.7452800273895264e-01
6000;3.3644801378250122e-01;1.7635199427604675e-01;3.3641600608825684e-01;1.7715199291706085e-01;3.8940799236297607e-01;1.7894400656223297e-01
6100;3.4575998783111572e-01;1.8175999820232391e-01;3.4595200419425964e-01;1.8185600638389587e-01;3.8447999954223633e-01;1.8435199558734894e-01
6200;3.5446399450302124e-01;1.8300800025463104e-01;3.5443198680877686e-01;1.8352000415325165e-01;4.0499201416969299e-01;1.9081600010395050e-01
6300;3.6627200245857239e-01;1.8918399512767792e-01;3.6617600917816162e-01;1.8947200477123260e-01;4.1804799437522888e-01;1.9548800587654114e-01
6400;3.7680000066757202e-01;1.9472000002861023e-01;3.7632000446319580e-01;1.9539199769496918e-01;4.1756799817085266e-01;1.9948799908161163e-01
6500;3.8908800482749939e-01;2.0112000405788422e-01;3.8886401057243347e-01;2.0172800123691559e-01;4.3379199504852295e-01;2.3379200696945190e-01
6600;4.0064001083374023e-01;2.0646399259567261e-01;4.0073600411415100e-01;2.0723199844360352e-01;4.4185599684715271e-01;2.4063999950885773e-01
6700;4.1359999775886536e-01;2.1417599916458130e-01;4.1379201412200928e-01;2.1481600403785706e-01;4.4953599572181702e-01;2.5091201066970825e-01
6800;4.2585599422454834e-01;2.2041599452495575e-01;4.2566400766372681e-01;2.2092799842357635e-01;4.5667201280593872e-01;2.6105600595474243e-01
6900;4.3747198581695557e-01;2.2649599611759186e-01;4.3753600120544434e-01;2.2735999524593353e-01;4.6716800332069397e-01;2.6691201329231262e-01
7000;4.4979199767112732e-01;2.3286400735378265e-01;4.4972801208496094e-01;2.3353600502014160e-01;4.7414401173591614e-01;2.7263998985290527e-01
7100;4.6291199326515198e-01;2.3913599550724030e-01;4.6303999423980713e-01;2.3964799940586090e-01;4.8198398947715759e-01;2.7772799134254456e-01
7200;4.7440001368522644e-01;2.4572800099849701e-01;4.7478398680686951e-01;2.4617600440979004e-01;4.9315199255943298e-01;2.8169599175453186e-01
7300;4.8825600743293762e-01;2.5264000892639160e-01;4.8860800266265869e-01;2.5328001379966736e-01;5.0409597158432007e-01;2.8857600688934326e-01
7400;5.0032001733779907e-01;2.5916799902915955e-01;5.0067198276519775e-01;2.6038399338722229e-01;5.1292800903320312e-01;2.9193601012229919e-01
7500;5.1420801877975464e-01;2.6511999964714050e-01;5.1430398225784302e-01;2.6604801416397095e-01;5.2604800462722778e-01;2.9731199145317078e-01
7600;5.2771198749542236e-01;2.7110400795936584e-01;5.2752000093460083e-01;2.7196800708770752e-01;5.3807997703552246e-01;3.0239999294281006e-01
7700;5.5718398094177246e-01;2.8329598903656006e-01;5.5558401346206665e-01;2.8415998816490173e-01;5.5177599191665649e-01;3.0764800310134888e-01
7800;5.6691199541091919e-01;2.8915199637413025e-01;5.6460797786712646e-01;2.9068800806999207e-01;5.6815999746322632e-01;3.1369599699974060e-01
7900;5.8614397048950195e-01;2.9270398616790771e-01;5.8694398403167725e-01;2.9475200176239014e-01;5.7840001583099365e-01;3.1750398874282837e-01
8000;5.8208000659942627e-01;2.9776000976562500e-01;5.8236801624298096e-01;2.9855999350547791e-01;5.9311997890472412e-01;3.2332798838615417e-01
8100;6.1689597368240356e-01;3.1452798843383789e-01;6.1836802959442139e-01;3.1679999828338623e-01;6.0790401697158813e-01;3.2950401306152344e-01
8200;6.1158400774002075e-01;3.1215998530387878e-01;6.1190402507781982e-01;3.1254398822784424e-01;6.2070399522781372e-01;3.3763200044631958e-01
8300;6.2742400169372559e-01;3.1996798515319824e-01;6.2723201513290405e-01;3.2022398710250854e-01;6.3667201995849609e-01;3.4019199013710022e-01
8400;6.4191997051239014e-01;3.2806399464607239e-01;6.4223998785018921e-01;3.2736000418663025e-01;6.5353602170944214e-01;3.4806400537490845e-01
8500;6.5740799903869629e-01;3.3644801378250122e-01;6.5753597021102905e-01;3.3647999167442322e-01;6.6668802499771118e-01;3.5455998778343201e-01
8600;6.7289602756500244e-01;3.4351998567581177e-01;6.7308801412582397e-01;3.4361600875854492e-01;6.8377602100372314e-01;3.6364799737930298e-01
8700;6.8822401762008667e-01;3.5059198737144470e-01;6.8822401762008667e-01;3.5052800178527832e-01;6.9689601659774780e-01;3.6972799897193909e-01
8800;7.0428800582885742e-01;3.5814398527145386e-01;7.0422399044036865e-01;3.5855999588966370e-01;7.1183997392654419e-01;3.7750399112701416e-01
8900;7.2054398059844971e-01;3.6745598912239075e-01;7.2051197290420532e-01;3.6816000938415527e-01;7.2867202758789062e-01;3.8828799128532410e-01
9000;7.3564797639846802e-01;3.7587198615074158e-01;7.3532801866531372e-01;3.7660801410675049e-01;7.4419200420379639e-01;3.9545598626136780e-01
9100;7.5177597999572754e-01;3.8316801190376282e-01;7.5238400697708130e-01;3.8393598794937134e-01;7.6038402318954468e-01;4.0191999077796936e-01
9200;7.6764798164367676e-01;3.9103999733924866e-01;7.6780802011489868e-01;3.9219200611114502e-01;7.7344000339508057e-01;4.0835198760032654e-01
9300;7.8473597764968872e-01;3.9971199631690979e-01;7.8547197580337524e-01;4.0067198872566223e-01;7.9225599765777588e-01;4.1967999935150146e-01
