Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
131000000;0.0000000000000000e+00;7.8983139213976699e-07;1.0752572506810585e-15;1.1146157289221181e-07;2.6210860393019071e-15;1.0407547514755225e-07
133000000;0.0000000000000000e+00;7.8471882677859277e-07;8.3957764470069075e-16;1.3127928274942080e-07;2.5186259402375943e-15;1.6000218187227241e-07
135000000;0.0000000000000000e+00;1.4049704817652763e-06;1.4052269676525559e-15;1.2642108761883175e-07;1.5936501808566068e-15;4.7169592963873453e-08
137000000;0.0000000000000000e+00;1.0238101745438048e-06;9.8434887432631369e-16;1.0977256172366234e-07;2.3325815159661111e-15;1.1271730038714582e-07
139000000;0.0000000000000000e+00;9.3125243491024079e-07;7.4363069111229653e-16;1.1200244609501349e-07;2.4826150011819225e-15;6.6115244768723790e-08
141000000;0.0000000000000000e+00;7.9204932852383207e-07;6.7784242221293474e-16;9.2559564990580094e-08;1.8076157928971784e-15;8.1626616658991240e-08
143000000;0.0000000000000000e+00;4.9341929703921723e-07;9.3862923683276761e-16;8.5152833149556622e-08;2.1377638442258801e-15;4.1877949044649489e-08
145000000;0.0000000000000000e+00;8.1116832852090033e-07;8.1450669999272453e-16;7.3067522839897359e-08;1.8326293424519801e-15;7.4375362439043215e-08
147000000;0.0000000000000000e+00;7.7295990836774623e-07;8.3239502635577262e-16;8.0913700404818780e-08;1.4200372824745121e-15;1.3900937305567868e-07
149000000;0.0000000000000000e+00;6.9871801910817237e-07;1.2326013800649671e-15;8.8913427540728070e-08;2.5356807120576870e-15;9.4146383470904540e-08
151000000;0.0000000000000000e+00;7.5411730322234413e-07;1.1137168389478491e-15;9.0577114215394252e-08;2.1927158925136171e-15;5.3351086362659459e-08
153000000;0.0000000000000000e+00;7.8373144978039756e-07;7.3766645751311793e-16;7.9425186209145323e-08;1.9977661071659360e-15;8.5739021066114913e-08
155000000;0.0000000000000000e+00;5.6419357412958335e-07;6.8340017549846562e-16;7.2155022584493497e-08;1.9385005100131457e-15;1.0105632550448238e-07
157000000;0.0000000000000000e+00;7.9286809972600895e-07;6.5923394084031884e-16;8.1917422379242300e-08;1.5731724182334362e-15;8.4486485587116763e-08
159000000;0.0000000000000000e+00;7.9173211712875251e-07;5.4789896164775213e-16;9.2375248694878915e-08;1.9337986844993153e-15;5.6032689640510519e-08
161000000;0.0000000000000000e+00;5.3733455009679882e-07;8.5225286421150125e-16;8.4440631488484966e-08;2.4685953935604302e-15;1.1865758464967197e-07
163000000;0.0000000000000000e+00;7.0163174989269730e-07;8.4939907408227642e-16;8.1729046138530596e-08;2.7066450852571758e-15;1.4502698388206804e-07
165000000;0.0000000000000000e+00;9.2485865398872067e-07;7.9382554402110915e-16;7.7602547785466352e-08;2.0584929896727855e-15;7.5406070847840470e-08
167000000;0.0000000000000000e+00;5.9047205473763245e-07;5.2971730860727953e-16;7.8686389867922026e-08;2.3361606888300100e-15;9.3414936035694100e-08
169000000;0.0000000000000000e+00;7.3922293730842305e-07;9.5883114540329531e-16;8.3404031647133083e-08;1.7907314917110605e-15;1.1838858964533094e-07
171000000;0.0000000000000000e+00;9.7216313659863470e-07;1.0873902799357655e-15;8.2797404728518764e-08;1.4727781183869053e-15;1.2191604504529212e-07
173000000;0.0000000000000000e+00;4.0816534726720675e-07;6.3296464650695792e-16;8.5843985337412580e-08;2.0502746938107516e-15;1.1531702337547076e-07
175000000;0.0000000000000000e+00;6.8404771565615440e-07;9.0927633011477505e-16;8.5821014580526480e-08;2.4738198136550060e-15;2.3731421820556791e-07
