Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
2000;+2.1753600239753723e-01;+2.9168000817298889e-01;+2.5161600112915039e-01;+2.2832000255584717e-01;+2.9135999083518982e-01;+2.2579200565814972e-01;+2.2105599939823151e-01
2050;+2.2300800681114197e-01;+2.9859200119972229e-01;+2.5795200467109680e-01;+2.3503999412059784e-01;+2.9980799555778503e-01;+2.3308800160884857e-01;+2.2729599475860596e-01
2100;+2.2684800624847412e-01;+3.0681601166725159e-01;+2.6249599456787109e-01;+2.4031999707221985e-01;+3.0675199627876282e-01;+2.3571200668811798e-01;+2.3161600530147552e-01
2150;+2.3033599555492401e-01;+3.1411200761795044e-01;+2.6710399985313416e-01;+2.4512000381946564e-01;+3.1532800197601318e-01;+2.4425600469112396e-01;+2.3804800212383270e-01
2200;+2.3273600637912750e-01;+3.1929600238800049e-01;+2.7129599452018738e-01;+2.4988800287246704e-01;+3.2044801115989685e-01;+2.4639999866485596e-01;+2.4105599522590637e-01
2250;+2.3750400543212891e-01;+3.2931199669837952e-01;+2.7734398841857910e-01;+2.5712001323699951e-01;+3.2915198802947998e-01;+2.5558400154113770e-01;+2.4806399643421173e-01
2300;+2.4188800156116486e-01;+3.3548799157142639e-01;+2.8112000226974487e-01;+2.6153600215911865e-01;+3.3500799536705017e-01;+2.5651198625564575e-01;+2.5152000784873962e-01
2350;+2.4598400294780731e-01;+3.4265598654747009e-01;+2.8566399216651917e-01;+2.6649600267410278e-01;+3.4300801157951355e-01;+2.6540800929069519e-01;+2.5836798548698425e-01
2400;+2.5001600384712219e-01;+3.4566399455070496e-01;+2.9014399647712708e-01;+2.7027198672294617e-01;+3.4627199172973633e-01;+2.6790401339530945e-01;+2.6220801472663879e-01
2450;+2.5542399287223816e-01;+3.5705599188804626e-01;+2.9603201150894165e-01;+2.7728000283241272e-01;+3.5628798604011536e-01;+2.7862399816513062e-01;+2.6812800765037537e-01
