Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
2;7000000;4.2877445595365685e+01;4.2877944946289062e+01;4.2877445595366254e+01;4.2877395629882812e+01;4.2877983093261719e+01;4.2877445595363497e+01;4.2877319335937500e+01
3;7000000;-8.1993559714745015e+02;-8.1993542480468750e+02;-8.1993559714745038e+02;-8.1993566894531250e+02;-8.1993609619140625e+02;-8.1993559714745174e+02;-8.1993566894531250e+02
4;7000000;-1.9237205275838878e+02;-1.9237231445312500e+02;-1.9237205275838767e+02;-1.9237211608886719e+02;-1.9237216186523438e+02;-1.9237205275838784e+02;-1.9237210083007812e+02
5;7000000;-4.4684169254663556e+02;-4.4684188842773438e+02;-4.4684169254663499e+02;-4.4684164428710938e+02;-4.4684204101562500e+02;-4.4684169254663686e+02;-4.4684152221679688e+02
6;7000000;-7.5869094116868416e+02;-7.5869006347656250e+02;-7.5869094116868393e+02;-7.5869091796875000e+02;-7.5869055175781250e+02;-7.5869094116868496e+02;-7.5869085693359375e+02
7;7000000;-6.7549175831983689e+02;-6.7549096679687500e+02;-6.7549175831983723e+02;-6.7549176025390625e+02;-6.7549212646484375e+02;-6.7549175831983780e+02;-6.7549182128906250e+02
8;7000000;-2.2783931196592935e+03;-2.2783911132812500e+03;-2.2783931196592948e+03;-2.2783930664062500e+03;-2.2783916015625000e+03;-2.2783931196592853e+03;-2.2783930664062500e+03
9;7000000;-1.4967286359502809e+03;-1.4967288818359375e+03;-1.4967286359502814e+03;-1.4967286376953125e+03;-1.4967299804687500e+03;-1.4967286359502818e+03;-1.4967283935546875e+03
0;9000000;-5.2580007581680064e+01;-5.2580455780029297e+01;-5.2580007581676838e+01;-5.2580001831054688e+01;-5.2579738616943359e+01;-5.2580007581678274e+01;-5.2580017089843750e+01
1;9000000;-4.3269715600619912e+02;-4.3269677734375000e+02;-4.3269715600620032e+02;-4.3269717407226562e+02;-4.3269644165039062e+02;-4.3269715600619952e+02;-4.3269732666015625e+02
2;9000000;-3.5066087725727493e+02;-3.5066098022460938e+02;-3.5066087725727493e+02;-3.5066091918945312e+02;-3.5066061401367188e+02;-3.5066087725727476e+02;-3.5066107177734375e+02
3;9000000;-1.2811606037706729e+03;-1.2811599121093750e+03;-1.2811606037706742e+03;-1.2811606445312500e+03;-1.2811594238281250e+03;-1.2811606037706742e+03;-1.2811606445312500e+03
4;9000000;1.3160798673308867e+02;1.3160769653320312e+02;1.3160798673308935e+02;1.3160791015625000e+02;1.3160777282714844e+02;1.3160798673308943e+02;1.3160797119140625e+02
5;9000000;-2.9650921761337986e+02;-2.9650903320312500e+02;-2.9650921761337952e+02;-2.9650924682617188e+02;-2.9650814819335938e+02;-2.9650921761338293e+02;-2.9650918579101562e+02
6;9000000;-9.7417191006577718e+02;-9.7417108154296875e+02;-9.7417191006577468e+02;-9.7417187500000000e+02;-9.7417138671875000e+02;-9.7417191006577332e+02;-9.7417150878906250e+02
7;9000000;-5.1353796589706997e+02;-5.1353918457031250e+02;-5.1353796589706758e+02;-5.1353796386718750e+02;-5.1353961181640625e+02;-5.1353796589706894e+02;-5.1353833007812500e+02
8;9000000;-2.7322638875017215e+03;-2.7322636718750000e+03;-2.7322638875017274e+03;-2.7322639160156250e+03;-2.7322646484375000e+03;-2.7322638875017228e+03;-2.7322636718750000e+03
9;9000000;-2.0681086907976501e+03;-2.0681069335937500e+03;-2.0681086907976496e+03;-2.0681086425781250e+03;-2.0681081542968750e+03;-2.0681086907976478e+03;-2.0681083984375000e+03
