Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
110327514;1.9865599870681763e+00;1.0086400508880615e+00;1.9875839948654175e+00;1.0209280252456665e+00;1.9947520494461060e+00;1.0188800096511841e+00;0.0000000000000000e+00;1.2319974811211466e-06;4.0520791318129761e-16;1.9971347347662221e-12;2.7013860878753177e-16;7.5378964132716165e-10
114550715;2.0623359680175781e+00;1.0485759973526001e+00;2.0613119602203369e+00;1.0577919483184814e+00;2.0725760459899902e+00;1.0577919483184814e+00;0.0000000000000000e+00;5.3677026363303061e-07;1.3008876204700169e-16;2.4066420978695312e-12;1.3008876204700169e-16;4.7884157385157185e-08
118773916;2.1360640525817871e+00;1.0833920240402222e+00;2.1381120681762695e+00;1.0967040061950684e+00;2.1483519077301025e+00;1.0977280139923096e+00;0.0000000000000000e+00;4.7096544577795946e-07;3.7639399413782627e-16;2.6922207754031585e-12;2.0074346354017400e-15;5.4285699826790355e-10
122997117;2.2118399143218994e+00;1.1243519783020020e+00;2.2138879299163818e+00;1.1345920562744141e+00;2.2292480468750000e+00;1.1356159448623657e+00;0.0000000000000000e+00;1.5360154465881434e-06;2.4231362343517831e-16;2.6408550250082909e-12;1.2115681171758915e-16;2.5078185455881686e-08
127220318;2.2886400222778320e+00;1.1653120517730713e+00;2.2886400222778320e+00;1.1765760183334351e+00;2.3019518852233887e+00;1.1776000261306763e+00;0.0000000000000000e+00;1.9338523426018058e-07;1.1713676772923953e-16;2.4848222538403580e-12;4.6854707091695814e-16;4.7232643015935819e-09
131443519;2.3623681068420410e+00;1.2011519670486450e+00;2.3654398918151855e+00;1.2144639492034912e+00;2.3767039775848389e+00;1.2093440294265747e+00;0.0000000000000000e+00;4.3498644426581410e-07;3.4012106683992882e-16;2.5046515362092359e-12;1.4738579563063582e-15;5.1949841986893980e-08
135666720;2.4401919841766357e+00;1.2421120405197144e+00;2.4422399997711182e+00;1.2533760070800781e+00;2.4555521011352539e+00;1.2554240226745605e+00;0.0000000000000000e+00;7.1268216526974629e-07;2.1968452809769055e-16;1.3016308289788165e-12;1.0984226404884527e-15;5.0287675571657724e-09
139889921;2.5159680843353271e+00;1.2759040594100952e+00;2.5180160999298096e+00;1.2902400493621826e+00;2.5303039550781250e+00;1.2912640571594238e+00;0.0000000000000000e+00;8.8661912356208273e-07;0.0000000000000000e+00;1.3038788806694711e-12;2.5566252562146489e-15;2.8432698402045522e-08
144113122;2.5917439460754395e+00;1.3158400058746338e+00;2.5917439460754395e+00;1.3342720270156860e+00;2.6071040630340576e+00;1.3271039724349976e+00;0.0000000000000000e+00;4.8904780518414558e-07;6.2042664004232734e-16;1.0305286491103055e-12;6.2042664004232734e-16;4.4929117092652235e-08
148336323;2.6695680618286133e+00;1.3598719835281372e+00;2.6664960384368896e+00;1.3701119422912598e+00;2.6839039325714111e+00;1.3680640459060669e+00;0.0000000000000000e+00;8.6166272611144184e-08;4.0183996854863082e-16;1.2446993025793840e-12;1.8082798584688386e-15;2.1701822585233189e-08
152559524;2.7432959079742432e+00;1.3926399946212769e+00;2.7443199157714844e+00;1.4090240001678467e+00;2.7596800327301025e+00;1.4090240001678467e+00;0.0000000000000000e+00;8.9620485797827555e-07;0.0000000000000000e+00;7.4237102473433112e-13;2.1489687558099059e-15;4.7746900396317609e-08
156782725;2.8149759769439697e+00;1.4284800291061401e+00;2.8200960159301758e+00;1.4438400268554688e+00;2.8334081172943115e+00;1.4479360580444336e+00;0.0000000000000000e+00;2.3579409903197323e-07;0.0000000000000000e+00;1.1385131114256700e-12;7.6040281277386547e-16;3.1675023241338025e-08
161005926;2.8938241004943848e+00;1.4694399833679199e+00;2.8928000926971436e+00;1.4827519655227661e+00;2.9143040180206299e+00;1.4888960123062134e+00;0.0000000000000000e+00;1.5380428021209988e-07;3.7021969371532388e-16;1.2189483415577038e-12;2.4064280091496051e-15;4.4955904393206721e-08
