Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+6500;+0.0000000000000000e+00;+1.1318389221873031e-07;+0.0000000000000000e+00;+3.9799835407353162e-08;+1.1318389221873031e-07;+6.9342758276633961e-16;+1.4948060584787605e-07
+6600;+0.0000000000000000e+00;+1.1258816458198522e-07;+0.0000000000000000e+00;+3.9245976522726060e-08;+1.1258816458198522e-07;+6.9643585299072265e-16;+1.4985491992508646e-07
+6700;+0.0000000000000000e+00;+1.1180837268698508e-07;+0.0000000000000000e+00;+3.9625517173425961e-08;+1.1180837268698508e-07;+7.0060210910015416e-16;+1.5210184323249835e-07
+6800;+0.0000000000000000e+00;+1.1262800528610307e-07;+0.0000000000000000e+00;+4.0543676487194516e-08;+1.1262800528610307e-07;+7.0617944299645696e-16;+1.5231819379966905e-07
+6900;+0.0000000000000000e+00;+1.1486299817947791e-07;+0.0000000000000000e+00;+3.9676354287915152e-08;+1.1486299817947791e-07;+7.1399362273604181e-16;+1.5105039611062893e-07
+7000;+0.0000000000000000e+00;+1.1290157689270325e-07;+0.0000000000000000e+00;+3.9790465586715675e-08;+1.1290157689270325e-07;+7.1937821529665301e-16;+1.5052582098239362e-07
+7100;+0.0000000000000000e+00;+1.1400930423209262e-07;+0.0000000000000000e+00;+3.9719188941791119e-08;+1.1400930423209262e-07;+7.2987693005265528e-16;+1.5199806790994789e-07
+7200;+0.0000000000000000e+00;+1.1499375563557610e-07;+0.0000000000000000e+00;+3.9569916734148161e-08;+1.1499375563557610e-07;+7.3319813595687290e-16;+1.5246903183766499e-07
+7300;+0.0000000000000000e+00;+1.1400774221337152e-07;+0.0000000000000000e+00;+4.0164471906093924e-08;+1.1400774221337152e-07;+7.4284205075396326e-16;+1.5392235134216017e-07
+7400;+0.0000000000000000e+00;+1.1444142892051577e-07;+0.0000000000000000e+00;+3.9391306597406551e-08;+1.1444142892051577e-07;+7.4338402541129780e-16;+1.5419849143935752e-07
+7500;+0.0000000000000000e+00;+1.1650217419232652e-07;+0.0000000000000000e+00;+3.9761151395190507e-08;+1.1650217419232652e-07;+7.4174377628538042e-16;+1.5416679258894118e-07
+7600;+0.0000000000000000e+00;+1.1553282329604674e-07;+0.0000000000000000e+00;+4.0453219657632382e-08;+1.1553282329604674e-07;+7.5009099610179586e-16;+1.5181706288570538e-07
+7700;+0.0000000000000000e+00;+1.1612441091193935e-07;+0.0000000000000000e+00;+3.9655316620469357e-08;+1.1612441091193935e-07;+7.5214447706822873e-16;+1.5474386532839842e-07
+7800;+0.0000000000000000e+00;+1.1754086178799825e-07;+0.0000000000000000e+00;+4.0012416527116856e-08;+1.1754086178799825e-07;+7.6365109434451654e-16;+1.5610068218391289e-07
+7900;+0.0000000000000000e+00;+1.1714354470764504e-07;+0.0000000000000000e+00;+4.0444743325442284e-08;+1.1714354470764504e-07;+7.6047077166241497e-16;+1.5478567773585306e-07
+8000;+0.0000000000000000e+00;+1.1591866699460357e-07;+0.0000000000000000e+00;+4.0115118754378353e-08;+1.1591866699460357e-07;+7.6185679175407118e-16;+1.5414742943002619e-07
+8100;+0.0000000000000000e+00;+1.1690945637286518e-07;+0.0000000000000000e+00;+3.9738116211695079e-08;+1.1690945637286518e-07;+7.6667433017233426e-16;+1.5517019137780725e-07
+8200;+0.0000000000000000e+00;+1.1720804644286608e-07;+0.0000000000000000e+00;+3.9752812758846916e-08;+1.1720804644286608e-07;+7.7694686279895551e-16;+1.5598134734694863e-07
+8300;+0.0000000000000000e+00;+1.1851570781427589e-07;+0.0000000000000000e+00;+3.9812941661123573e-08;+1.1851570781427589e-07;+7.8044338682452759e-16;+1.5738096032798324e-07
+8400;+0.0000000000000000e+00;+1.1933062957761676e-07;+0.0000000000000000e+00;+3.9962972066096498e-08;+1.1933062957761676e-07;+7.8684816278302189e-16;+1.5595547078028766e-07
+8500;+0.0000000000000000e+00;+1.1888735870035015e-07;+0.0000000000000000e+00;+3.9954043255052803e-08;+1.1888735870035015e-07;+7.9132657640006364e-16;+1.5516103848476813e-07
+8600;+0.0000000000000000e+00;+1.1969951046567065e-07;+0.0000000000000000e+00;+4.0125492533225506e-08;+1.1969951046567065e-07;+7.9253890399324403e-16;+1.5550447780755740e-07
+8700;+0.0000000000000000e+00;+1.1969338378002655e-07;+0.0000000000000000e+00;+3.9518783280319636e-08;+1.1969338378002655e-07;+8.0077430719734455e-16;+1.5720077496258715e-07
+8800;+0.0000000000000000e+00;+1.1822890897122705e-07;+0.0000000000000000e+00;+3.9820087313679693e-08;+1.1822890897122705e-07;+8.0626740172158791e-16;+1.5555091835675739e-07
+8900;+0.0000000000000000e+00;+1.1925253615834542e-07;+0.0000000000000000e+00;+3.9820716459116380e-08;+1.1925253615834542e-07;+8.0923321493414417e-16;+1.5687418243204017e-07
+9000;+0.0000000000000000e+00;+1.1904458956962907e-07;+0.0000000000000000e+00;+3.9587914953279720e-08;+1.1904458956962907e-07;+8.1515977503315667e-16;+1.5559164820296185e-07
