Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
147000000;0.0000000000000000e+00;9.7179608756155071e-07;3.0411902736781144e-16;1.5416604464445653e-12;1.0542792931747230e-15;2.4419312412453802e-08
149000000;0.0000000000000000e+00;1.1109687495002429e-06;3.0003748569336574e-16;1.1389622988125880e-12;1.8202274165563094e-15;2.5723119381204150e-08
151000000;0.0000000000000000e+00;6.8213399671861743e-07;3.7501529345247010e-16;9.9576429337047359e-13;1.6382247051012266e-15;4.2020331734359974e-08
153000000;0.0000000000000000e+00;6.8277630916451496e-07;1.9479905779050806e-16;1.0499084823144098e-12;1.1882742537521904e-15;4.3121607979721768e-08
155000000;0.0000000000000000e+00;7.0849468907558115e-07;2.6920026654462211e-16;9.0324381017471096e-13;1.0960296636782007e-15;3.6130014370955615e-08
157000000;0.0000000000000000e+00;5.7317610375897297e-07;3.4170757590073383e-16;1.1799352473247214e-12;1.2529277794779563e-15;5.5634478129421731e-08
159000000;0.0000000000000000e+00;6.2681977829074685e-07;2.6242655663212233e-16;1.6501756744611127e-12;1.7432621240076787e-15;4.1344266767544048e-08
161000000;0.0000000000000000e+00;1.0086602871946456e-06;2.7767514072818773e-16;1.1960764162522838e-12;1.4068873816485828e-15;4.4942698067053521e-08
163000000;0.0000000000000000e+00;9.4563531203129012e-07;2.5598540184151180e-16;1.1489356239176286e-12;9.8737226489872376e-16;4.0778733251742958e-08
165000000;0.0000000000000000e+00;9.8329073869472927e-07;2.3482119323269837e-16;8.2536036520568036e-13;9.2122160399498264e-16;4.1859077049842866e-08
167000000;0.0000000000000000e+00;7.4645016274405282e-07;3.7478571781418126e-16;9.3821358110550728e-13;1.5705306277431117e-15;4.8280560198312051e-08
169000000;0.0000000000000000e+00;8.0531529297371862e-07;3.1744885275413348e-16;7.1845729776087904e-13;1.6754245053526779e-15;5.2630197912523492e-08
171000000;0.0000000000000000e+00;5.5260766202324106e-07;2.9630349346071940e-16;1.0506573288087840e-13;1.4989470858337559e-15;1.2413755866522860e-08
173000000;0.0000000000000000e+00;9.5953096909513693e-07;2.2396589360435894e-16;2.8328239916109341e-13;1.3954798011276372e-15;3.5086625436764537e-08
175000000;0.0000000000000000e+00;6.0813711405954536e-07;2.3843576303799200e-16;1.0576329175247520e-13;1.1070231806975757e-15;2.9300683283217298e-08
177000000;0.0000000000000000e+00;7.3765492022777245e-07;2.0206164743897315e-16;2.8714643896858477e-13;1.1113390571450530e-15;4.0458554746347638e-08
179000000;0.0000000000000000e+00;7.1082344318269278e-07;2.3310540264369707e-16;7.0181376655027893e-13;1.3320308706661109e-15;6.0696755198309434e-08
181000000;0.0000000000000000e+00;6.1510394300899682e-07;2.7992970708794284e-16;5.6794444335122669e-13;1.0209201109439470e-15;5.0129617644499475e-08
183000000;0.0000000000000000e+00;4.7878199477030530e-07;2.2801545584853077e-16;1.4643478333647186e-13;1.0749300084967836e-15;4.4508923985555184e-08
