Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
81000000;0.0000000000000000e+00;2.8233501527268102e-07;1.8398015018291592e-16;1.8971466458168355e-08;4.5366160749766966e-07;5.5192880153764107e-16;4.8517533307266269e-08
83000000;0.0000000000000000e+00;5.1153163701875446e-07;2.6931369227571990e-16;2.3335133193532542e-08;5.5972706028404850e-07;7.1819125612112026e-16;3.2114295157323695e-08
85000000;0.0000000000000000e+00;4.4878400754866295e-07;1.7531670676668228e-16;2.4456673774721358e-08;4.3389503545151788e-07;6.1361308539416674e-16;4.8983299145949291e-08
87000000;0.0000000000000000e+00;5.4886783453977243e-07;3.4257006306310755e-16;2.7167493975212216e-08;6.9640727618998583e-07;5.9950792622967661e-16;3.2411224465169150e-08
89000000;0.0000000000000000e+00;6.6597844920182500e-07;1.6743813986924246e-16;1.1124241823959761e-08;6.2103238263461372e-07;5.0232279786445427e-16;1.3699338582649160e-08
91000000;0.0000000000000000e+00;6.3386013776459643e-07;1.6375661970618303e-16;2.2067120322062653e-08;5.4840200005832835e-07;9.0068337155605856e-16;5.2898760104351778e-08
93000000;0.0000000000000000e+00;6.6375861885511695e-07;4.0058428357221749e-16;1.9379151309350332e-08;6.7354737316225148e-07;5.6083917936660643e-16;3.3433403835484048e-08
95000000;0.0000000000000000e+00;5.1222906221740637e-07;4.7058509767403151e-16;1.5494154304880605e-08;4.6349928762732133e-07;7.8431677441074386e-16;2.2499921825378399e-08
97000000;0.0000000000000000e+00;4.3427513888743709e-07;3.0725442578486282e-16;2.8805227533697184e-08;4.6165367848951586e-07;8.4495027583788546e-16;3.0391415635490420e-08
99000000;0.0000000000000000e+00;4.7236289370597368e-07;1.5052565994834107e-16;1.6723838217020951e-08;5.1276884676560719e-07;8.2788675574811241e-16;5.4527304665304364e-08
101000000;0.0000000000000000e+00;5.3718773352696629e-07;2.9508567938982843e-16;1.4493736873177283e-08;4.5797628683188149e-07;6.6394042218200822e-16;1.8473082529656514e-08
103000000;0.0000000000000000e+00;5.3397295902550273e-07;3.6169181487503633e-16;1.3889488554340374e-08;6.5121475212368285e-07;1.5191353599528243e-15;4.1205804811224453e-08
105000000;0.0000000000000000e+00;4.1456650294704059e-07;1.4192522798693558e-16;1.6183094095581445e-08;5.0708041609655221e-07;1.0644139780991637e-15;2.2317347866965659e-08
107000000;0.0000000000000000e+00;4.2194459237625051e-07;1.3926650741977179e-16;1.8737708094122366e-08;3.8455921369174560e-07;6.9635887880360462e-16;2.5986603316691136e-08
109000000;0.0000000000000000e+00;6.2528693575363476e-07;2.7342329003106802e-16;1.8452021338033904e-08;6.4721747563026969e-07;8.2028114996276752e-16;2.0955945184282382e-08
111000000;0.0000000000000000e+00;7.2953064586009828e-07;2.6849593708704923e-16;2.4846068471005122e-08;6.5745680812833552e-07;1.2753958689405304e-15;3.4128603771521962e-08
113000000;0.0000000000000000e+00;3.9072498874694434e-07;1.9781104911641547e-16;1.8451060314685088e-08;2.9997192827573327e-07;6.5936018434850403e-16;2.1546240210664218e-08
115000000;0.0000000000000000e+00;6.4760483151207568e-07;2.5916087407724662e-16;1.9352963926938362e-08;6.4103775901127607e-07;1.2310040978288120e-15;2.7413025228262436e-08
117000000;0.0000000000000000e+00;5.1839160698085740e-07;1.9104896622278953e-16;1.4465208292880181e-08;4.6067244031359507e-07;1.3373547061015191e-15;3.8000927532268275e-08
119000000;0.0000000000000000e+00;5.2975584086895871e-07;1.8783489244866497e-16;9.2749423313945749e-09;5.2988982771601754e-07;8.7656582983329705e-16;9.2749423313945749e-09
121000000;0.0000000000000000e+00;5.7837850869918431e-07;1.2315594175028948e-16;1.2768759787384433e-08;7.1510326918141100e-07;9.8523210468770599e-16;2.8824566416871718e-08
123000000;0.0000000000000000e+00;3.9297312600301799e-07;2.4230300037166488e-16;2.0080872417193695e-08;4.0554356904237139e-07;1.5749893924177540e-15;2.7881871195967306e-08
125000000;0.0000000000000000e+00;3.9648367951833760e-07;1.7881961696352734e-16;1.9505823280263233e-08;3.4166196205411574e-07;1.8478319636294689e-15;2.3323863688984044e-08
127000000;0.0000000000000000e+00;3.3460084079717883e-07;1.1733562790881232e-16;1.4466822573318505e-08;5.5230527796847351e-07;1.0560109607446383e-15;1.5491995309929444e-08
129000000;0.0000000000000000e+00;8.4949192794949611e-07;1.7327542142252942e-16;1.0477069763719919e-08;8.4949205603578869e-07;1.1551610273891834e-15;4.2487970563171931e-08
131000000;0.0000000000000000e+00;3.9862281699079398e-07;2.2750445881808001e-16;2.3177227773939946e-08;5.2148542692236041e-07;1.0237864994629252e-15;2.9835501674222172e-08
133000000;0.0000000000000000e+00;3.2242304893912284e-07;1.1204184926338748e-16;1.3450845889338538e-08;3.3624779936638454e-07;6.7226144138487642e-16;2.7991272295127994e-08
135000000;0.0000000000000000e+00;4.2344054468359709e-07;2.2076380674097072e-16;3.7561140013534236e-08;4.7102658080709120e-07;7.7267639897530944e-16;4.2790288574068944e-08
