Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
343000000;3.6761600971221924e+00;1.9230719804763794e+00;3.6863999366760254e+00;1.9261440038681030e+00;3.8348801136016846e+00;2.1094400882720947e+00;0.0000000000000000e+00;1.3416280756631127e-06;5.1661088072613282e-15;3.4057577018769443e-08;8.1509716736789843e-15;2.0812370214886118e-06
345000000;3.6945919990539551e+00;1.9343359470367432e+00;3.7119998931884766e+00;1.9363839626312256e+00;3.8584320545196533e+00;2.1196799278259277e+00;0.0000000000000000e+00;1.9948857571877034e-06;2.2533132125967332e-16;3.1014557090591899e-08;7.2106022803095463e-15;1.9948857571877034e-06
347000000;3.7181439399719238e+00;1.9456000328063965e+00;3.7304320335388184e+00;1.9476480484008789e+00;3.8778879642486572e+00;2.1350400447845459e+00;0.0000000000000000e+00;9.4705241329777080e-07;4.4131295547463923e-15;3.5646861317776858e-08;1.6549235830298970e-15;2.1626287532927192e-06
349000000;3.7386240959167480e+00;1.9578880071640015e+00;3.7560319900512695e+00;1.9578880071640015e+00;3.9065599441528320e+00;2.1442561149597168e+00;0.0000000000000000e+00;3.8068636040182405e-07;3.3858957221605903e-15;4.0806502894599065e-08;3.1037377453138746e-15;2.1187734105014014e-06
351000000;3.7632000446319580e+00;1.9691519737243652e+00;3.7713921070098877e+00;1.9681279659271240e+00;3.9311358928680420e+00;2.1585919857025146e+00;0.0000000000000000e+00;2.0430976936769545e-08;1.2414088290689075e-15;5.7527188818687979e-08;7.7588051816806717e-15;2.5197170652883060e-06
353000000;3.7857279777526855e+00;1.9793920516967773e+00;3.7908480167388916e+00;1.9824639558792114e+00;3.9505920410156250e+00;2.1698560714721680e+00;0.0000000000000000e+00;1.8045253511183565e-06;1.7139121020054906e-15;5.2772676916701998e-08;2.3371528663711235e-15;2.9756247825802970e-06
355000000;3.8062078952789307e+00;1.9937280416488647e+00;3.8174719810485840e+00;1.9947520494461060e+00;3.9741439819335938e+00;2.1811199188232422e+00;0.0000000000000000e+00;3.0006913349668229e-06;1.7897620811134122e-15;1.3653622200876111e-07;2.5852118949415956e-15;6.8441761379683253e-06
357000000;3.8266880512237549e+00;2.0049920082092285e+00;3.8420479297637939e+00;2.0060160160064697e+00;3.9895040988922119e+00;2.1975040435791016e+00;0.0000000000000000e+00;2.0373620763758699e-06;4.0746086554470242e-15;1.4082347370692447e-07;9.7014491796357719e-16;5.4749231497790576e-06
359000000;3.8471679687500000e+00;2.0162560939788818e+00;3.8625280857086182e+00;2.0172801017761230e+00;4.0099840164184570e+00;2.2118399143218994e+00;0.0000000000000000e+00;1.0192139431536238e-06;3.5664048762322919e-15;1.0149646173935754e-07;7.7034345326617490e-15;3.9590035568529777e-06
361000000;3.8696959018707275e+00;2.0264959335327148e+00;3.8830080032348633e+00;2.0254719257354736e+00;4.0417280197143555e+00;2.2220799922943115e+00;0.0000000000000000e+00;7.9752821962121531e-07;5.8458688230681395e-15;1.2015051288265251e-07;1.3194961057782373e-14;5.1913959166833574e-06
