Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
337000000;3.6085760593414307e+00;1.8892799615859985e+00;3.6239359378814697e+00;1.8944000005722046e+00;1.8923519849777222e+00;3.7652480602264404e+00;2.0736000537872314e+00;0.0000000000000000e+00;1.4095739810301918e-06;3.5375990349760457e-16;1.4851534118240294e-08;1.5994973830499828e-06;3.5375990349760457e-16;8.0110166891655173e-08
339000000;3.6331520080566406e+00;1.9015680551528931e+00;3.6454401016235352e+00;1.9046399593353271e+00;1.9046399593353271e+00;3.7847039699554443e+00;2.0817921161651611e+00;0.0000000000000000e+00;2.0418953423850979e-07;0.0000000000000000e+00;1.5386869669024757e-08;2.0418953423850979e-07;1.9341980202722691e-15;1.5386869669024757e-08
341000000;3.6536319255828857e+00;1.9107840061187744e+00;3.6628479957580566e+00;1.9169280529022217e+00;1.9179519414901733e+00;3.8205440044403076e+00;2.0981760025024414e+00;0.0000000000000000e+00;1.0327783045717302e-06;6.9922078090722515e-16;4.5223415044138986e-10;1.0327783045717302e-06;1.7480519522680629e-16;4.5223415044138986e-10
343000000;3.6771841049194336e+00;1.9251199960708618e+00;3.6863999366760254e+00;1.9292160272598267e+00;1.9251199960708618e+00;3.8359038829803467e+00;2.1104640960693359e+00;0.0000000000000000e+00;9.3722449928068960e-07;5.2135586411315440e-16;4.2218384707653985e-09;8.4392423319969723e-07;2.6067793205657721e-15;8.9078427610227032e-08
345000000;3.6956160068511963e+00;1.9353599548339844e+00;3.7079041004180908e+00;1.9394559860229492e+00;1.9374079704284668e+00;3.8635520935058594e+00;2.1237759590148926e+00;0.0000000000000000e+00;8.8838353936776333e-07;0.0000000000000000e+00;3.9210632271317148e-08;7.9562412220385520e-07;2.7644460548135055e-15;3.9210632271317148e-08
347000000;3.7181439399719238e+00;1.9435520172119141e+00;3.7304320335388184e+00;1.9486720561981201e+00;1.9445760250091553e+00;3.8778879642486572e+00;2.1319680213928223e+00;0.0000000000000000e+00;1.9299883031601096e-07;1.7178216354462185e-16;8.5491367009423853e-09;1.0077398350847666e-07;2.5767324531693275e-15;8.5491367009423853e-09
349000000;3.7365760803222656e+00;1.9548159837722778e+00;3.7529599666595459e+00;1.9599360227584839e+00;1.9589120149612427e+00;3.9065599441528320e+00;2.1473278999328613e+00;0.0000000000000000e+00;9.3750782207447402e-07;5.1239153276163928e-16;2.0547457091743491e-08;9.3750782207447402e-07;1.7079717758721308e-16;7.1148579406529564e-08
351000000;3.7601280212402344e+00;1.9681279659271240e+00;3.7754878997802734e+00;1.9711999893188477e+00;1.9701759815216064e+00;3.9311358928680420e+00;2.1606400012969971e+00;0.0000000000000000e+00;2.9529915471950161e-07;0.0000000000000000e+00;2.1778591823697972e-08;4.7764619665003739e-07;3.5663022478495273e-15;6.9394929141569911e-08
353000000;3.7847039699554443e+00;1.9773440361022949e+00;3.7980160713195801e+00;1.9845119714736938e+00;1.9834879636764526e+00;3.9536640644073486e+00;2.1708800792694092e+00;0.0000000000000000e+00;1.2113167765835503e-07;0.0000000000000000e+00;3.0474484651223627e-08;2.1178887066548641e-07;8.4431090398813970e-16;3.0474484651223627e-08
355000000;3.8062078952789307e+00;1.9886080026626587e+00;3.8195199966430664e+00;1.9957760572433472e+00;1.9937280416488647e+00;3.9700479507446289e+00;2.1831679344177246e+00;0.0000000000000000e+00;5.0079896564436305e-07;5.0373598014208619e-16;4.0083424487828362e-08;7.7124016071045875e-07;2.0149439205683447e-15;5.0063640534203532e-08
357000000;3.8266880512237549e+00;2.0039680004119873e+00;3.8420479297637939e+00;2.0070400238037109e+00;2.0039680004119873e+00;3.9935998916625977e+00;2.1975040435791016e+00;0.0000000000000000e+00;1.3032256919231052e-06;5.0091467993371047e-16;4.1406913327891096e-08;1.2135835182397055e-06;1.5027440398011314e-15;4.1406913327891096e-08
359000000;3.8492159843444824e+00;2.0142080783843994e+00;3.8625280857086182e+00;2.0193281173706055e+00;2.0172801017761230e+00;4.0171518325805664e+00;2.2118399143218994e+00;0.0000000000000000e+00;6.5762423924614405e-08;1.6604078488690068e-16;2.3380043686811777e-08;1.5490489153604059e-07;1.4943670639821061e-15;6.5762423924614405e-08
361000000;3.8717439174652100e+00;2.0244479179382324e+00;3.8881280422210693e+00;2.0285439491271973e+00;2.0254719257354736e+00;4.0407037734985352e+00;2.2231040000915527e+00;0.0000000000000000e+00;5.7499566723798826e-07;1.6512114107107831e-16;4.3103241654125501e-08;4.8634692964067782e-07;2.8070593982083312e-15;4.3103241654125501e-08
363000000;3.8881280422210693e+00;2.0357120037078857e+00;3.9045119285583496e+00;2.0398080348968506e+00;2.0377600193023682e+00;4.0632319450378418e+00;2.2364161014556885e+00;0.0000000000000000e+00;7.9751125665531546e-07;1.6421050186885644e-16;4.0726795705195889e-09;7.9751125665531546e-07;1.6421050186885644e-15;8.4087162327791066e-08
365000000;3.9147520065307617e+00;2.0469760894775391e+00;3.9229440689086914e+00;2.0510718822479248e+00;2.0490241050720215e+00;4.0806398391723633e+00;2.2446079254150391e+00;0.0000000000000000e+00;1.7870984910452860e-07;4.8993014175274345e-16;3.3570210918055154e-09;8.4319392914556026e-08;8.1655023625457232e-16;3.3570210918055154e-09
367000000;3.9362559318542480e+00;2.0592639446258545e+00;3.9434239864349365e+00;2.0613119602203369e+00;2.0613119602203369e+00;4.1093120574951172e+00;2.2558720111846924e+00;0.0000000000000000e+00;1.4460814991673950e-07;1.6242049360281221e-16;2.9789527139324402e-08;3.1900582697280341e-07;1.2993639488224977e-15;5.7409311388707553e-08
369000000;3.9567360877990723e+00;2.0684800148010254e+00;3.9690239429473877e+00;2.0746240615844727e+00;2.0746240615844727e+00;4.1236481666564941e+00;2.2702078819274902e+00;0.0000000000000000e+00;7.0443942913177320e-07;3.2307926464297215e-16;1.0631991303125908e-08;5.3098756967461133e-07;8.0769816160743044e-16;1.0631991303125908e-08
371000000;3.9792640209197998e+00;2.0828158855438232e+00;3.9884800910949707e+00;2.0869119167327881e+00;2.0869119167327881e+00;4.1523199081420898e+00;2.2773759365081787e+00;0.0000000000000000e+00;6.3304889166050996e-07;3.2133667078170788e-16;2.9241801404842521e-08;4.6053258015889067e-07;1.2853466831268315e-15;2.9241801404842521e-08
