Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
115000000;2.0797441005706787e+00;1.0536960363388062e+00;2.0776960849761963e+00;1.0885119438171387e+00;1.0588159561157227e+00;2.0746240615844727e+00;1.0670080184936523e+00;0.0000000000000000e+00;2.7858037277551152e-07;1.2957773054944016e-16;3.5776411404700423e-13;5.5684643027538426e-07;2.2028214193404826e-15;3.1431527563874091e-10
117000000;2.1155838966369629e+00;1.0721280574798584e+00;2.1135358810424805e+00;1.1069439649581909e+00;1.0762239694595337e+00;2.1114881038665771e+00;1.0854400396347046e+00;0.0000000000000000e+00;1.0934899046482656e-08;5.0944669752823967e-16;3.0643218856323621e-13;3.5281879044320042e-07;1.2736167438205992e-16;1.0934899046482656e-08
119000000;2.1503999233245850e+00;1.0895359516143799e+00;2.1493759155273438e+00;1.1243519783020020e+00;1.0956799983978271e+00;2.1483519077301025e+00;1.1008000373840332e+00;0.0000000000000000e+00;4.7936992880901439e-07;5.0088704971738523e-16;1.8733175659430209e-13;5.4659785060670484e-07;1.5026611491521558e-15;8.7744762251808909e-09
121000000;2.1872639656066895e+00;1.1110399961471558e+00;2.1852159500122070e+00;1.1438080072402954e+00;1.1130880117416382e+00;2.1893119812011719e+00;1.1233279705047607e+00;0.0000000000000000e+00;6.5973341717125757e-07;2.4630653642168491e-16;3.2266156271240720e-13;6.5973341717125757e-07;1.3546859503192671e-15;1.4406570300984284e-09
123000000;2.2220799922943115e+00;1.1284480094909668e+00;2.2231040000915527e+00;1.1632640361785889e+00;1.1356159448623657e+00;2.2210559844970703e+00;1.1366399526596069e+00;0.0000000000000000e+00;3.1114342746281316e-08;2.4230175712458779e-16;2.3188278156823049e-13;1.6119910807296126e-07;3.6345263568688164e-15;3.1114342746281316e-08
125000000;2.2599680423736572e+00;1.1479040384292603e+00;2.2558720111846924e+00;1.1816960573196411e+00;1.1509759426116943e+00;2.2579200267791748e+00;1.1560959815979004e+00;0.0000000000000000e+00;3.3729159898617240e-07;4.7684858029236478e-16;9.3700746027449670e-14;8.1285466798705310e-08;2.8610914817541883e-15;1.7283933751838540e-08
127000000;2.2947840690612793e+00;1.1683839559555054e+00;2.2927360534667969e+00;1.1991039514541626e+00;1.1704319715499878e+00;2.2958080768585205e+00;1.1765760183334351e+00;0.0000000000000000e+00;4.0297797670805982e-07;2.3466872157403961e-16;1.5312134082706083e-13;4.6597138199272417e-07;9.3867488629615845e-16;2.5017545000073652e-08
129000000;2.3306241035461426e+00;1.1847679615020752e+00;2.3296000957489014e+00;1.2165119647979736e+00;1.1888639926910400e+00;2.3306241035461426e+00;1.1929600238800049e+00;0.0000000000000000e+00;9.3673558178251569e-07;2.3103341874296110e-16;1.1743428674704712e-12;8.7471802067100998e-07;4.6206683748592220e-16;6.4721651099300994e-09
131000000;2.3685119152069092e+00;1.2042239904403687e+00;2.3654398918151855e+00;1.2359679937362671e+00;1.2093440294265747e+00;2.3654398918151855e+00;1.2144639492034912e+00;0.0000000000000000e+00;2.4142127013208962e-08;2.2750402640956128e-16;1.0335507919786370e-12;2.8120860834222418e-07;1.3650241584573678e-15;3.6928020057877667e-08
133000000;2.4033279418945312e+00;1.2226560115814209e+00;2.4012799263000488e+00;1.2533760070800781e+00;1.2288000583648682e+00;2.4043519496917725e+00;1.2308479547500610e+00;0.0000000000000000e+00;1.5599481997025577e-07;1.1204186289769133e-16;1.6187808351458446e-12;1.5599481997025577e-07;2.2408372579538270e-15;9.5842802854193264e-08
